user_id	username	name	tweet	language
130827768	zulhilmymuslem	ZLHLMY	@hilmi_1711 Kan hahaha aku pun terfikir mcm tu tdi. Mmg seunggi muda lah juga tapi consider OB pun boleh	in
426562349	sijasad	sijasad bersiong 👓 🇲🇾	Manja adalah manja. Bodoh adalah bodoh.  Apa yang sama?	in
115215818	faramirah	farah amirah	Arini xtau apsal ade awan kelabu atas kepala...	in
411272857	asyraffkamal	Muhd Asyraf Kamal	@MMZSCKL Yakjudd	in
77681198	jibrail_ilham	🌩	Jum adik2 #promex #SPM2020result #SPM2020 #resultspm2020	in
295478389	hanifmz	hanifmz | 🍔 | Burger Vista	@inhavenhan Ada cara minum kopi. Hahha. Kalau betul cara, kopi akan rasa manis.	in
1142636953	ciniscin	cinis	Baru tahu GOT dah lama rupanya. Dari 2011, kenapa mcm baru famous dua tahun lepas camtu	in
4897046773	naejiyhah_	gee	aku nap jap petang astu sepanjang nap tu tidoq tak lena sbb rumah sebelah dok wiring pe tah, time aku dah emo bangun baru pakcik tu benti wiring tu🙂🙂🙂	in
421928354	kvlengvlv	ダワミ™ 🕊	@Jaa_ingg Loni mu charge supo skalo x? Tehe staro mano? Ko beruboh?	in
239758830	adibaimanrosli	adbaimn	@dekman00_ Naik sikit 10 cukup lah.. hahaha	in
391984152	umiekamil	UA	@sun4lowe5girl Eh duit jatuh dari langit ke sis? 😂 kalau nak let go macbook lama roger! 🤪	in
463473579	sarahhisham96	♔ Sarah Hisham	Nape semua temporarily closed padahal baru pukul 5pm @foodpanda_my 😫  https://t.co/lpl7mAslVJ	in
1206930986576965633	allyloveit2209	🌻€££_ally🌻	yeayyy...dh bley bkk spaces.. sape nak join..huhu.. krik..krik..nmpknyee..😜😜  https://t.co/7UvYoivScL	in
584567701	ianfaizal95	Faizal Mustaza	Orang pakai product mekuri mana kisah. Janji kulit licin mcm cermin	in
1929344084	_shazlyien	Alinnnn’gon 🇲🇾🇵🇸	@ceamcomel Mende NK patut letak ceam dls kelas A 🤣	in
2181354380	nadharnichi	Nadhar Izzati	@a_dlinaa @reyyeon96 untunglah. bila lah i dapat suprise i pulak	in
77681198	jibrail_ilham	🌩	Ok this one utk Uitm@INTEC korang bleh join utk tau apa yg INTEC offer for future enquiry bleh scan QR utk join virtual open day!  https://t.co/lp3jA0zRBT	in
465216492	ninaaarifin	Nina W Arifin 🇲🇾	Kalau bodoh kenapa kerja dan akhirnya menyusahkan orang lain eh?	in
4252358719	koolfmmy	Kool FM	Sukan tanah air menerima kehilangan besar apabila perginya bekas ratu pecut &amp; tokoh pemimpin olahraga yang disegani, Rajemah Sheikh Ahmad.  Takziah buat keluarga arwah &amp; semoga arwah ditempatkan di kalangan orang beriman. Al-Fatihah...  Sumber: @kosmo_online   #KoolHM #ratupecut  https://t.co/5l64ykJOpj	in
1268352702674690048	stimpynugget	javadd	salam sheesh bakal mak mertua	in
902215897284100096	imrnnabil	𝐼𝑚𝐻𝑒𝑚𝑠𝑤𝑜𝑟𝑡ℎ	conclusionnya kalau diri tu tak pernah rasa jadi as a player, no need to sembang macam kau tahu semua benda pasal bola. Kalau main friendly, aku pun pernah.	in
45302074	xenazack	👻❤️🐰	@izzatulatikahM Bawak bertenang beb. Ikut timeline please lg 17 tahun nak spm kau dah triggered sampai nak ajar algebra kt Aisyah. Ai kenot. Jgn kau trigger aku pulak. Jgn sampai aku study add math semata2 nk ajar Farhah. Jgn. Geng mak tak bertenang mcm kita ni kena kena berjaga2 sikit.	in
407714837	izahziradm	별	@nrulyya saya dah order yang otger side punya. tapi macam nak yang one side punya 😩😩😩😩	in
295478389	hanifmz	hanifmz | 🍔 | Burger Vista	@20cmaf Actually waktu breakfast adalah waktu terbaik untuk minum kopi.  Caffeine will boost your energy throughout the day. Lepas breakfast, after 30 munites or so, ambik secawan kopi. Untuk yg tak biasa minum kopi, dah ptg jangan minum dah, susah nak tido. Nanti kacau body clock.	in
527353256	reklats323	nawzir	Bila ko dpt email komplain... serabut..... sighhhhh	in
1224598576023519232	imranopie	🇲🇾🇵🇸	Wehhh lupin part2 dah ada kat netflix!!!  https://t.co/hIQT1BTOGr	in
473943867	nryhtul	Teringin Temyracle Cuura StrangeSugar Kapar Klang?	@masazalyay @wandayahdayah weyh aku pun biasa tk dpt tgk emoji, apesal eh	in
590187426	aaididadli	AIDID™	MB kedah suka ni.	in
236017133	nimzays_nawzi	Izwan	@hisyamangah Insyallah boleh tuan.👍🏻	in
705706530	xsyajarix	Always Czareth 🇲🇾 🇵🇸	@Nazirul_yahya Tunggu bulat. Dia tak post lagi	in
4026152180	ainieyinia	Mc Niey	td checkup aydan..BMI dah cecah paras kuning..kena control diet anak ak pulak..diet diri sendiri x tercontrol..ni kan pula diet anak..🤣🤣	in
126067349	aimanpsikologi	Aiman Psikologi 🇲🇾	@sofyank96 Orang kata kalau print depan belakang, boleh dapat dua PS5, betul ke?  😝  Tahniah @sofyank96 for another great milestone! Semoga terus sukses 🎉	in
814172439382892545	hanyanghabbang	adlihayoung	Yang bagi statement pompuan and komen balas pon pompuan. Lelaki tengok je lah hahahaaa	in
46989088	vankordi	Mr.Ahmad	@hafezkml @Twitter Boleh juga tapi emoji lagi mudah kut?	in
145137884	afifahmiyata	cik tembikai 🍉	Eeeeiii bestnya nak beli lahhhh!	in
19876155	sxph	68 👾	@namasayahassan Rapper kegemaran saya BMX bang. RIP	in
978300072831082496	ilhanfaeeq	𝙛𝙖𝙞𝙦 🥷🏽⛓	bermula satu cerita dulu kala	in
853407421	mohdizrien	IzrienSITG	@ketengahketepi Agent ampang takde ke?	in
581898497	im_syahid	Rimau Nangisss 😝™	@abdulhalim___ Aku duk sorang2 ni gile lgi stressssss! Mati akal dah 😣	in
