term	Meaning
说正经的 (-, 你应该少吸点烟, 知道吗? Joking apart, you ought to smoke fewer cigarettes, you know.)	No longer joking; wanting instead to talk about something important
打着灯笼也难找	Rare; one in a million
没的跳	Very good; without shortcomings
跟A红脸	Have words with someone; quarrel
给A脸色看 (你去-她点-， 让她下不了台， 看她还能神气活现?)	Show anger at or dislike of somebody
不起眼儿 (他的家乡只是地图上一个-的小城)	Not outstanding; average
有分寸 (说话很-; 做事-)	Have a sense of propriety
总之一句话	In a word; in short 5
好样的 (这些战士个个都是-。 Each and every one of these soldiers has proved his mettle.)	Great fellow; good person 3
过了这村。。。没这店儿	Do not let an opportunity pass you by, as it may never come again
少说	at least
穷光蛋	Pauper; poor person
是＋动词＋宾语＋动词＋的	This pattern means that doing something (V+O) is the cause of an unhappy result
跟A一个腔调	Sound just like (somebody). Usually, it containsa negative connotation
煮熟的鸭子飞了	Let the opportunity slip through one's fingers
什么A不A的	The speker does not agree with what the listener said
翻了个底儿朝天	Ransack one's place for something
泡汤 (原先的计划已经-了)	Come to nothing; fail
砸饭碗	Lose one's job
打磕睡	doze off
有你好看的 (下次再让我看到你欺负我兄弟的话，- Let me catch you bullying my brother again)	"You will run into trouble"
八杆子打不着	Have nothing to to with or be distantly related
算帐 (我回头找你- I will get even with you; -的日子 A day of reckoning)	Punish somebody after something bad has happened; settle scores with somebody
热锅上的蚂蚁 (急得像-一样)	Be on pins and needles, i.e. anxious or frantic (n) 6
发脾气 (爱- be short-tempered; 差一点就- I almost lost my temper)	Lose one's temper; get angry
下不来台 (你提的问题让他当场-)	Embarrassed
王枪口上撞	If you cross someone who is in a bad mood, you will suffer the consequences
向。。。交代	Justify oneself; account for one's actions
忘到脑后头	Have completely forgotten
摸透了A的脾气	Understand somebody's temper or character
脚底朝天 (我们春播忙得- We are rushed off our feet with the sowing)	Very busy 4
放空炮 (不要-， 拿出行动来 Now, none of your empty talk. Let's see how you act)	Indulge in empty talk (and not follow through) 3
一是一，二是二 (他的结论-，不故弄玄虚 His conclusions pull no punches)	Be practical and realistic; be earnest
鸡蛋里挑骨头 (他是一个爱在-的人! He is such a nitpicker! )	Look for a flaw where there is none (nitpicking) 6
一根筋 (她只是-，但并无恶意)	Stubborn; rigid
跟A没完	Nag without end; incessantly criticize
脸没地儿搁	Lose face
玩儿命 (斗牛士们在-; 休息一下吧，你不能整天这么-地干)	Risk one's life at sth. ; work very hard on sth.
大小	after all 2
有鼻子有眼	With every detail vividly described (although one has not seen or experienced)
管闲事 (别- Don't put your finger in the pie; 爱-; 别-！ Mind your own business !)	Poke one's nose into other people's business
乱了套 (一切都- Everything is wrong)	Be in a muddle; turn things upside down 3
差点儿尽儿	Not very good
心里没底儿	Feel unsure of or uncertain about something
有头脑 (她很-)	have brains; smart 3
心里有数	Know fairly well; know what's up
板上钉钉	Fixed; that's final; unchangeable
谢天谢地 (哦，-，他来了。 Oh, thank heaven, he is coming)	Thanks one's lucky star; feel very fortunate 4
底子薄 (这个国家的（经济）-。	Have a poor foundation
跟不上 (汤姆-时代的步伐 Tom is out of step with the times)	Cannot catch up with; cannot keep pace with
下本钱	Spend much time; money or strength to achieve one's aim
说着玩 (他只是-而已)	Joking; not being serious
砸锅卖铁	Put all one's money towards something; give away all one has (money)
豁出去 如果你想成为一名成功的赛马选手，有时必须豁出去撞大运	Go ahead regardless; be ready to risk everything
好你个A	Little does the speaker expect
真有你的	The speaker exclamatpry sighs with feelings, such as admiration, praise, or criticism
吃了。。。的亏	Suffer losses in A; or, suffer losses because of A
走老路 (他们宁愿-而不愿体验新奇的事物)	Follow the beaten path
不是省油的灯	(Someone) is not easy to deal with (deragotory)
吃鸭蛋	Recieve a zero (goose egg) in an exam
没大没小 (这孩子倒很讨人喜欢，不过应该教他尊敬长辈，不要这么-的)	Be impolite to one's elders
像样儿 (我没有-的衣服可穿)	Up to par; presentable
说得好听是A，说得不好听就是B	A is a nice way of putting it, B is a more critical way of putting it. In fact, B is really implied
有眼光 (你男朋友对衣服很-。Your boyfriend really has an eye for clothes)	Have foresight, farsighted
打保票 (你敢-吗？ 你敢打保票吗？)	Vouch for something; guarantee 3
走到哪儿算哪儿	Proceed without a plan; improvise
落埋怨	Be blamed
松了一口气 (我-)	Relax a little or loosen up
说+动词+就+动词	Do something as soon as one mentions it
团团转 (指使我们- Bossing us around; 他忙得- He is as busy as a bee)	Run around in circles; pace about in an agitated state of mind
连轴转 (只有工厂-工作，我们才能把货准备好)	Do something day and night
悠着点 (-劲， 别太猛了 Take it easy! Don't go at it so hard!)	Take things a little easier
家常便饭 (在北京，堵车是-)	Common occurrence; usual practice
开夜车 (他总是-学习)	Burn the midnight oil; pull an all-nighter
歇不过劲来	Even after a rest one is still exhausted
一把屎一把尿	(Parents) undergo hardship and sacrifice to raise their child
说不过去 (这-嘛！; 很难说是正当的, -)	Unjustifiable
吃闭门羹 (他干过一阵子挨户推销的事，但因常-，很快就讨厌那项工作了)	Be denied entrance from someone's home
对胃口 (这个菜很-; 这个节目有它的优点，可是不-我的-)	(Something) to one's liking
打下手 (他要去为商人史密斯先生-)	Act as an assistant or helper
又当爹又当妈	Be a single parent; raise a child on one's own
还说呢	"Don't talk about that"
对有意思 (我想她-你-)	Like somebody or fall in love with somebody
打退堂鼓 (不要遇到一点困难就- Don't back up the moment you run up against a little difficulty)	Beat a retreat; back out
站不住脚 (这个论点-)	Untenable
半路出家 (我刚-来当教师， 还没有什么教学经验)	Switch to a job one was not trained for
找没趣	Ask to be snubbed
打光棍	Stay single; remain a bachelor
老掉牙 (-的笑话; 这架打字机-了; 他的想法都-了)	Very old; out of date; obsolete
一股脑 (另外是坏消息是一点点出来的，而不是-都显现出来)	Completely; all
不对劲 (他似乎有点- There seems to be something the matter with him; 我发觉某事- I could smell that something was going wrong)	Not right; abnormal
走冤枉路	Take a roundabout tour, or detour
一路货 (这些政客都是-)	The same mould (derogatory)
坐一条板凳	Of the same mind (derogatory)
没救 (一切都成了定局，-了 The dice is cast. It's incurable; 我爸爸是一个-了的纸上谈兵的人 My father is a hopeless armchair quarterback)	Cannot be saved
葫芦里卖的什么药 (他的-到底-是-？)	What has someone got up his sleeve? What are his intentions?
看走眼	See wrong; misjudge
碰一鼻子灰 (她向经理提出这个问题时-了-)	Be snubbed or rejected; meet with a rebuff
拍马屁 (他善于-所以升迁很快)	Lick somebody's boots; flatter
吃不开	Be unpopular; won't work
吃那一套 (俱乐部的领导被赶下台了, 因为他总是滥用自己的权力, 而年轻人却不-)	Like or embrace the current way of doing things
揭不开锅 (他家-了， 孩子们都等着吃饭)	Be hungry; have nothing to eat; cannot afford to buy food
大鱼大肉	Delicious food, mainly meat
败家子 (他被认为是个- He is regarded as the black sheep of the family)	Spendthrift; wastrel
说半个不字 (没有人敢- none of them dares even mutter dissent)	Object to; oppose
杀鸡给候看	Kill the chicken to frighten the monkey; make an example of somebody
走着瞧 (他不把规矩放在眼里，可是，-，早晚他会自食恶果)	Wait and see. It has threatening connotations or is used as a prediction
画等号 (这两个用语不能-上-)	A is equal to B
烂摊子 (只留下我来-这个烂摊子 I was left to straighten out the mess)	An awful mess; no way of resolving something
看不出眉目	Cannot follow how an affair is unraveling or see how something is developing
有盼头 (这下子可-了 There is hope then)	Have good prospects
半死不活 (那男孩由于饥饿已经-的了)	Listless; have no vitality
不够意思	Unhelpful; ungrateful; not a true friend
看在（某人）的面子上	Give preferential treatment (to someone); shows favor (for someone)
说什么也 (-不能使他平静下来)	No matter what or how
一天到晚 (-忙个不了)	From morning to evening; all day long
咬牙	Make up one's mind; resolve oneself to do something
东跑西颠	Scurry or rush about everywhere
煲电话粥	Make a long phone call
够（某人）一呛	Make somebody unable to bear something
爱（某人）白眼	Be treated with disdain or censure
气管炎 (结婚后他完全变成了"-")	A joking way of saying that the husband is henpecked
保不齐	More likely than not
犯脾气	Lose one's temper; flare up
半边天 (妇女能顶-)	Half the sky; women of the new (equalitarian) society
针尖对麦芒 (《-(日本、欧洲和美国之间行将到来的经济搏斗)》)	A pin against an awn; tit for tat; do not give the impression of being weak
有日子 (咱们-没见面了 We haven't seen each other for quite a few days)	For quite a few days; for a long time
动真格的 (当然，说好听的容易，-就不一定了 That may be easier said than done)	Treat seriously and take action
说开 (他们-这会没有什么好处)	Speak out; bring up what is on one's mind
说得轻巧 (你-倒- It is easy for you to say)	It is easy to say (but difficult to put into practice)
给（某人）抹黑 (-政府-的可笑企图 A laughable attempt to discredit the Government)	Bring shame on someone; blacken somebody´s name
我是谁呀	"I'm not a common man" (the speaker praises himself)
一句话的事	Someone can solve the problem by speaking a single sentence (because he has power or a special position)
跑龙套 (事实上许多著名的影星就是从身无分文的不起眼的-的开始的)	Play an insignificant or supportive role
捏着一把汗 (笔者希望双赢，但是心中并不踏实，有时还-呢！)	Be breathless with anxiety or nervousness
一溜烟 (他-跑掉了)	(Run) very swiftly
看热闹 (两个人在打架，其余的人-)	Merely watch the commotion; be a locker-on
跟（某人）一般见识 (别-他- You don't want to bother yourself arguing with the likes of him)	Lower oneself to the same level as somebody
一愣一愣的	Dumbfonded; speechless in anger, astonishment, because of an unexpected question
不是滋味 (你完全-知道在那里-什么- You have no conception of what it was like to be there)	Feel bad; have a bad feeling
有路子	Have connections
三寸不烂之舌 (他有-，几乎没人能把他驳倒 He has a glib tongue. Few people can argue him down.)	Have a silver tongue; persuasive
夸海口	Talk big; boast
套近乎 (谁都看得出来她跟他- Everyone can see she is just throwing herself at him )	Try to be close or friendly with somebody
一块石头落了地	Feel as if a load has been lifted from one's mind
脸上挂不住	Feel embarrassement; lose face
摸不着头脑 (我对这件事完全-)	Cannot make head or tail of something
打成一片 (他和群众-，从来不摆架子)	Become one with or merge with a group
半瓶子醋	Dabbler; someone who persues a smattering of hobbies or something else
有两下子 (如果你-，你就可以爬到公司经理的位职)	Have real skill; really be something
泼冷水 (别给他们的乐观态度- Don't pour cold water on their optimism)	Throw cold water on; dampen the enthusiasm of
打得火热 (我们看到工会领导人和资本家们- We see the union leaders cheek by jowl with the capitalists)	Have an intimate relation with somebody
脚踩两条船	Straddle two boats; have a foot in either camp; straddle the fence
雷声大雨点小	Loud thunder but small raindrops; say much but do little
耍嘴皮子 (那个会-的大骗子卷走了老人750美元)	Engage in empty talk
哪壶不开提哪壶	Someone is talking about what the speaker does not like to talk about
气不打一处来 (我爸爸花了500美元买了一件外套,妈妈顿时-)	Be angry; be furious
冤枉钱 (-花)	Pay more money than something is worth
除了A还是A	All A; only A
A得慌 (累- be dog-tired)	Feel ill or feel bad because of A
不是时候 (我来得-? Is this a bad time?)	At the wrong time
往多了说	No more than
一窝蜂 (他们-地涌进电影院 They all piled into the cinema )	Like a swarm of bees (a chaotic crowd)
凑热闹 (我们够忙的，别再来-儿了)	Join in the fun. It also means add to the trouble
好家伙 (-，这真贵呀!)	Gosh. An exclamation of surprise (in either admiration or dismay)
这叫什么事呀	Indicates that the speaker is discontented with or angry about something
就那么回事 (哦，-吧，看到一半我就把它关了 Well, I thought it was just so-so; I turned it off half-way through)	Not very good; so-so
不够如此	So-so; passable; barely acceptable
大路货 (我方订购的是-，而你方运来的却是次品)	Popular goods of average quality
拿得出手 (一份-的礼物)	Something is presentable
爱面子 (他因-而故意说那些话)	Be concerned about saving face; be sensitive about one's reputation
打肿脸充胖子 (人家都知道我们快破产了，何必还-)	Puff oneslf up (beyond one's means)
清一色 (-的看法)	Identical; all of the same color
何苦来呢	There is no need; why bother
随大溜 (我还不想公开我那些会引起争论的观点, 宁可暂且-)	Go with the flow; follow the crowd 3
拣软的捏	Bully or take advantage of those who are weaker
咽不下这口气	Cannot swallow an insult; cannot bear the shame
讨个说法	Arrive at a reasonable explanation or conclusion
有后台 (他在政府里面-)	Be backed up; have backing
让（某人）三分	Be tolerant
胳膊能拧过大腿	The weak cannot resist or conquer the strong
脑子发热	Be hotheaded; impulsive
打定主意 (-要... be set on [upon])	Make up one's mind
说话就+VP	In no time; no sooner said than done
留后路 (给你自己-条-，必要时可以利用它)	Leave a way out or an escape route
对（某人）有看法	Have complaint about somebody
前怕狼，后怕虎 你这样-的，能做成什么大事？	fear wolves ahead and tigers behind; paranoid
问个究竟 我就是要-	Ask what actually happened; get to the bottom of the matter
