term	description
另类 lìng lèi	Different, special, completely new of fashionable type or trend (卡布尔也是一个很-的城市 Kabul is a different city)
流动人口	Floating or transient population
流口水	Mouth watering; long for something 这食物令我-
流浪猫 liú làng māo	Abandoned cat, stray cat
流浪软件 liú làng ruǎn jiàn	Rascal software, malware, spy ware
流通股 liú tōng gǔ	Circulation stock
留守儿童 liú shǒu ér tóng	Rear children; a child left to live with his or her grandparents or relatives while the parents go to work in another place or province
龙头	Leader; the leading things
龙头企业	Leading company
隆胸 lóng xiōng	Breast augmentation
楼盘 lóu pán	Building (residential highriser) 许多-都有排队候选名单 Many buildings have waiting lists)
楼市	Property market
露脐装 lù qí zhuāng	Bare midriff
驴友 lǚ yǒu	Backpacker buddy; hiking fellows; those who travel together
绿色食品 lǜ sè shí pǐn	Green food; organic foods without chemical additives
乱搭 luàn dā	1) Miss-matched (clothes) 2) Illegal construction
论坛 lùn tán	Forum
裸奔 luǒ bēn	Nude run
落马 luò mǎ	Fall of the horse; a metaphor for a government official losing his post for comitting a crime or for illegal activities
马长城	Play mahjong
埋单	Pay the bill
卖座	(of a theater, cinema, etc.) draw large audiences; (of a movie, etc.) be a box-office success; (of a restaurant, club, etc.) attract many customers (那是-片 That movie is a box-office hit)
盲流 máng liú	Blind influx; it refers to people, mainly laborers, who are aimlessly flowing from rural areas or small towns into large cities
猫	1) Modem 2) Hide
猫腻 māo nì	Illegal deal, underhanded activity
毛坯房 máo pī fáng	Rough housing, raw housing (house with no fittings)
没劲	1) Uninteresting, boring 打扑克-; 这酒- 2) (of a person) good-for-nothing, not very promising, disappointing
没门儿	No way, can't do it -，你有你自己的那一半 No way, you got your own
没脾气 méi pí qì	Cannot lose one's temper; helpless; mild tempered
没谱	1) Unsure, unrealistic, be irrelevant, unsettled 2) Have no idea, not know 我心里全然-
没戏	Have no hope; hopless, impossible
没辙 méi zhé	Have no other way out, have no solution
没治	1) Hopless, helpless 你真- 2) Extremely great
美眉	MM; an abbrevation for beautiful girls
猛男 měng nán	Valiant man, strong man, brave man
面	Weak, lax, slow
名人效应 míng rén xiào yìng	Celebrity effect 于是英国媒体开始发生变化，变得越来越为-所驱动 The British media is changing. It is becoming much more celebrity-driven)
名嘴 míng zuǐ	Famous pundit (of television anchor, host or hostess)
摩的	Motorbike taxi
脑残 nǎo cán	Mentally retarded, addle minded; also used in the cartoon field to refer to characters of cartoons drawn with idiot looks Used about spoiled "90hou)
闹心 nào xīn	Be worried or disturbed, be vexed 这事真-! This sucks!
能耗 néng hào	Energy consumption 人均- Energy Consumption Per Capita
黏糊	1) Sticky, glutinious 2) Slow in action, in low spirits 这人真- He is very dull 3) Like to be together
鸟巢 niǎo cháo	Bird's Nest; Beijing's national stadium which looks like a big bird's nest
牛	Proud, arrogant, self-important
牛市	Bull market
农民工	Farm worker, migrant worker, rural labor
暖冬	Warm winter
欧III标准	European emission standards
偶像派 ǒu xiàng pài	Idol type with good looks
呕像	Disgusting person who makes you want to vomit, a homophone of 偶像, but with a contrast meaning
拍砖 pāi zhuān	Hit somebody with a stone; a metaphor for criticizing somebody on blog or BBS
派对	1) Party 2) Make pairs, matchmaking
盘活 pán huó	Make alive, rejuvenate
跑吧	Indulge oneself for a long time in bars (wine bars or Internet bars)
泡沫经济	Bubble economy
泡汤 pào tāng	Fall flat, fall through (of plans), fail, be done for, be unsuccessful, come to nothing; be fruitless 原先的计划已经-了 The original plan has gone to wreck
陪聊 péi liáo	Accompany somebody to chat
喷饭 pēn	Spurt put food with laughter; something which is so funny and ridiculous that makes someone spew out their food (at meals) (令人- screamingly funny)
碰瓷儿	Porcelain-crashing; intentionally throwing oneself onto or in front of a moving car to get compenation
疲软	1) (of a person) Fatigued and weak 2) Weak, slumping, sluggish (in market) 市场是-的 The market is very quiet; 美圆- The U.S. Dollar is weakening
飘红 piāo	Enjoy positive red figures
票房	Box office (of a cinema, theater, stadium) -有票 Tickets are available at the box office; 这个电影的-很失败 This film is a big flop at the box office
品味	Taste 你的-很高雅 You have wonderful taste; 缺乏-的人 A person with uncultivated tastes
评价医院	Fair-price hospital
平台	Platform, opportunity
齐活 qí	Be done, be over or finished
起哄 qǐ hòng	to heckle 他去他们的会议-
起腻 nì	Bother someone; pester, nag
汽车美容	Car beauty, car care
潜规则 qián guī zé	unwritten rules 给教师送礼已经成为一种"-"
强	Strong, excellent, good
强强联合	Make joint effort through integration of excellent enterprises
强势	Strong force, driving force -推进全面建设小康社会步伐
抢眼 qiǎng yǎn	Eye-catching 但是因为报道的标题并不-，也并没有引起注意; 万事达公司一季度同样表现- MasterCard had a strong quarter)
亲和力	Affinity
青蛙 qīng wā	Frog; bad-looking man (net language)
情商	E.Q. (emotional quotient)
全球变暖	Global warming
拳头产品	Competitive products, knock-out products, blockbuster
热炒	Promote frequently in media, increase in value due to popularity
热点	Hot spot -新闻 Hot news; 高加索"-"浅析 A Brief Analysis on Hot Spots in Caucasus
热线	Hot line
热销	(of goods) In great demand; sell like hot cakes; hot sale 什么书最-? What book has sold best?
人脉 rén mài	contacts; network 你可以得到想要的-，不过无法独自做到。这是走后门的好时机
人气	Popularity (他的慷慨为他获得了-。 His generosity gained him popularity)
肉	1) Not crisp, mushy 2) (of a person) slow in getting things done; not frank; not straightforward
软广告	Soft ads; a type of advertisement in the form of a newspaper or magazine article of short TV show; it tells life stories of clients enjoying certain products so as to create a good image of the product
软句	Soft excuse, refuse in a reasonable way
软肋 lèi	Weak point; Achilles' heel
软势力	Soft power
软着陆 ruǎn zhuó lù	soft landing 1993年政府开始实施稳定和调整政策，实现了我国经济的-
弱势群体	Weak group, socially vulnerable group
弱智 ruò zhì	Weak-minded, mentally defiicient, stupid -的孩子 a mentally retarded child
三高	Three highs (1. High degree, high income and high position 2. High blood pressure, high blood fat (hyperlipidemia) and high blood sugar (hyperglycemia))
三农	Three problems of agriculture
三栖明星 qī	Tri-circle star; an actor or actress popular in film, television and song circles
杀价	Force down the price, chop down the price 我大概可以找店主- I can probably get the owner to bring down the price; 这件商品被她-杀到了100美元 She beat the merchant down $100
杀熟	Metaphor for cheating one's acquaintances
沙尘暴 shā chén bào	sandstorm
