Chinese	count	percent	histogram	ID	uid	Trad.	Pinyin	PlainPY	Definition
一个人	1	0.17	*	436	436	一个人	yīgèrén	yi1 ge4 ren2	by oneself (without assistance); alone (without company)
可怜	1	0.17	*	438	438	可怜	kělián	ke3 lian2	pitiful; pathetic; to have pity on
位置	1	0.17	*	454	454	位置	wèizhi	wei4 zhi5	position; place; seat; Classifiers: 个
如果	1	0.17	*	457	457	如果	rúguǒ	ru2 guo3	if; in case; in the event that
山东	1	0.17	*	460	460	山东	shāndōng	Shan1 dong1	Shandong, province in northeast China, short name 鲁 , capital Jinan 济南
认识	1	0.17	*	462	462	认识	rènshi	ren4 shi5	to know; to recognize; to be familiar with; to get acquainted with sb; 
knowledge; understanding; awareness; cognition
现在	1	0.17	*	467	467	现在	xiànzài	xian4 zai4	now; at present; at the moment; modern; current; nowadays
默默无闻	1	0.17	*	472	472	默默无闻	mòmòwúwén	mo4 mo4 wu2 wen2	obscure and unknown (idiom); an outsider without any reputation; a nobody; 
an unknown quantity
开始	1	0.17	*	478	478	开始	kāishǐ	kai1 shi3	to begin; beginning; to start; initial; Classifiers: 个
还好	1	0.17	*	479	479	还好	háihǎo	hai2 hao3	not bad; tolerable; fortunately
慢慢	1	0.17	*	484	484	慢慢	mànmàn	man4 man4	slowly
太多	1	0.17	*	488	488	太多	tàiduō	tai4 duo1	too much
不公	1	0.17	*	490	490	不公	bùgōng	bu4 gong1	unjust; unfair
每次	1	0.17	*	493	493	每次	měicì	mei3 ci4	every time
背着	1	0.17	*	497	497	背着	bēizhe	bei1 zhe5	
多少	1	0.17	*	506	506	多少	duōshǎo	duo1 shao3	number; amount; somewhat
难听	1	0.17	*	507	507	难听	nántīng	nan2 ting1	unpleasant to hear; coarse; vulgar; offensive; shameful
各种	1	0.17	*	510	510	各种	gèzhǒng	ge4 zhong3	every kind of; all kinds of; various kinds
鸭舌	1	0.17	*	519	519	鸭舌	yāshé	ya1 she2	
冲着	1	0.17	*	524	524	冲着	chōngzhe	chong1 zhe5	
恶心	1	0.17	*	529	529	恶心	ěxīn	e3 xin1	nausea; to feel sick; disgust; nauseating; to embarrass (deliberately); 
variant of 恶心
冬天	1	0.17	*	530	530	冬天	dōngtiān	dong1 tian1	winter; Classifiers: 个
雾霾	1	0.17	*	532	532	雾霾	wùmái	wu4 mai2	haze; smog
有时候	1	0.17	*	535	535	有时候	yǒushíhou	you3 shi2 hou5	sometimes
空气	1	0.17	*	536	536	空气	kōngqì	kong1 qi4	air; atmosphere
不太好	1	0.17	*	537	537	不太好	bùtàihǎo	bu4 tai4 hao3	not so good; not too well
那是	1	0.17	*	545	545	那是	nàshi	na4 shi5	(coll.) of course; naturally; indeed
郊区	1	0.17	*	547	547	郊区	jiāoqū	jiao1 qu1	suburban district; outskirts; suburbs; Classifiers: 个
这儿	1	0.17	*	549	549	这儿	zhèr	zhe4 r5	here
感觉	1	0.17	*	551	551	感觉	gǎnjué	gan3 jue2	to feel; to become aware of; feeling; sense; perception; Classifiers: 个
等等	1	0.17	*	552	552	等等	děngděng	deng3 deng3	et cetera; and so on ...; wait a minute!; hold on!
类似	1	0.17	*	555	555	类似	lèisì	lei4 si4	similar; analogous
话说	1	0.17	*	557	557	话说	huàshuō	hua4 shuo1	It is said that ... (at the start of a narrative); to discuss; to recount
时候	1	0.17	*	563	563	时候	shíhou	shi2 hou5	time; length of time; moment; period
两个	1	0.17	*	572	572	两个	liǎnggè	liang3 ge4	
旁人	1	0.17	*	579	579	旁人	pángrén	pang2 ren2	other people; bystanders; onlookers; outsiders
又是	1	0.17	*	584	584	又是	yòushì	you4 shi4	
Chinese	1	0.17	*	ID	uid	Trad.	Pinyin	PlainPY	Definition
