description	term
to try; to attempt; CL:次[cì]	尝试 cháng shì
routine; everyday business; daily operation (of a company)	常务 cháng wù
threshing floor; classifier for events and happenings: spell, episode, bout	场 chǎng
situation; occasion	场合 chǎng hé
wide open; to open up	敞开 chǎng kāi
scene; occasion	场面 chǎng miàn
location; place	场所 chǎng suǒ
to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)	倡导 chàng dǎo
unimpeded; free-flowing; straight path; unclogged; move without obstruction	畅通 chàng tōng
best seller; chart-topping	畅销 chàng xiāo
to suggest; to initiate; proposal; initiative	倡议 chàng yì
transcending; high grade; super-; ultra-	超级 chāo jí
paper money; a bill (e.g. 100 yuan); CL:張|张[zhāng],扎[zā]	钞票 chāo piào
to surpass; to exceed; to transcend	超越 chāo yuè
tide; current; trend	潮流 cháo liú
damp; moist	潮湿 cháo shī
jeer; mockery; scoff; sneer; make fun of; laugh at (derogatory)	嘲笑 cháo xiào
retreat	撤退 chè tuì
to repeal; to revoke; to undo (computing)	撤销 chè xiāo
to settle; to precipitate (solid sediment out of a solution)	沉淀 chén diàn
old-fashioned	陈旧 chén jiù
to display; to exhibit	陈列 chén liè
oppressive (of weather); heavy; depressed; not happy	沉闷 chén mèn
an assertion; to declare; to state	陈述 chén shù
contemplate; contemplation; meditation; ponder	沉思 chén sī
heavy; hard; serious; critical	沉重 chén zhòng
steady; calm and collected; not nervous	沉着 chén zhuó
after one's heart (idiom); gratifying and satisfactory; everything one could wish	称心如意 chèn xīn rú yì
name; term of address; title	称号 chēng hào
orange tree; orange (color)	橙 chéng
to hold; contain; to ladle; pick up with a utensil	盛 chéng
to undertake; to accept a contract	承办 chéng bàn
to contract; to undertake (a job)	承包 chéng bāo
castle; rook (chess piece)	城堡 chéng bǎo
(manufacturing, production etc) costs	成本 chéng běn
penalty; punishment; to punish	惩罚 chéng fá
to complete a contract; to reach a deal	成交 chéng jiāo
to promise; to undertake to do something; commitment	承诺 chéng nuò
