description	term
spectacles; eyeglasses; CL:副[fù]	眼镜 yǎn jìng
to request; to require; to stake a claim; to ask; to demand; CL:點|点[diǎn]	要求 yāo qiú
(informal) father's father; paternal grandfather; CL:個|个[gè]	爷爷 yé ye
same; ordinary; common; general; generally; in general	一般 yì bān
one side; either side; on the one hand; on the other hand; doing while	一边 yì biān
surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must	一定 yí dìng
altogether	一共 yí gòng
a while	一会儿 yí huì r5
same; like; equal to; the same as; just like	一样 yí yàng
straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along	一直 yī zhí
after; later; afterwards; following; later on; in the future	以后 yǐ hòu
before; formerly; previous; ago	以前 yǐ qián
to believe; to think; to consider; to be under the impression	以为 yǐ wéi
music; CL:張|张[zhāng],曲[qǔ],段[duàn]	音乐 yīn yuè
bank; CL:家[jiā],個|个[gè]	银行 yín háng
ought to; should; must	应该 yīng gāi
an influence; an effect; to influence; to affect (usually adversely); to disturb; CL:股[gǔ]	影响 yǐng xiǎng
to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore	用 yòng
game; play; CL:場|场[chǎng]	游戏 yóu xì
famous; well-known	有名 yǒu míng
(once) again; also; both... and...; again	又 yòu
to meet; to run into; to come across	遇到 yù dào
to wish; to want; ready; willing (to do sth)	愿意 yuàn yì
to exceed; to climb over; to surpass; the more... the more	越 yuè
moon	月亮 yuè liang
cloud; CL:朵[duǒ]	云 yún
station; to stand; to halt; to stop; branch of a company or organisation	站 zhàn
chief; head; elder; to grow; to develop	长 zhǎng
to worry; to feel anxious	着急 zháo jí
to take care of; to show consideration; to attend to; to look after	照顾 zhào gu
photo; photograph; picture; CL:張|张[zhāng],套[tào],幅[fú]	照片 zhào piàn
camera; CL:個|个[gè],架[jià],部[bù],台[tái],隻|只[zhī]	照相机 zhào xiàng jī
only; merely; just; but	只 zhǐ
between; intermediate; mid; middle	中间 zhōng jiān
at last; in the end; finally; eventually	终于 zhōng yú
abbr. for 物種|物种, genus; race; seed; breed; species; strain; kind; type; has guts (i.e. courage); nerve; classifier for types: kind, sort; classifier for languages	种 zhǒng
important; significant; major	重要 zhòng yào
weekend	周末 zhōu mò
main; principal; major; primary	主要 zhǔ yào
invoke; pray to; wish; to express good wishes; surname Zhu	祝 zhù
to take note of; to pay attention to	注意 zhù yì
dictionary; character dictionary; CL:本[běn]	字典 zì diǎn
self; (reflexive pronoun); own	自己 zì jǐ
always	总是 zǒng shì
recent; recently; these days; latest; soon; nearest (of locations); shortest (of routes)	最近 zuì jìn
school assignment; homework; work; task; operation; to operate; CL:個|个[gè]	作业 zuò yè
to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; to play a role; corresponds to English -ity, -ism, -ization; CL:個|个[gè]	作用 zuò yòng
romance; love (romantic); CL:個|个[gè]	爱情 ài qíng
to arrange; to plan; to set up	安排 ān pái
safe; secure; safety; security	安全 ān quán
dark; gloomy; hidden; secret; muddled; obscure; in the dark	暗 àn
on time; before deadline; on schedule	按时 àn shí
according to; in accordance with; in the light of; on the basis of	按照 àn zhào
to comprise; to include; to involve; to incorporate; to consist of	包括 bāo kuò
to protect; to defend; to safeguard; protection; CL:種|种[zhǒng]	保护 bǎo hù
guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[gè]	保证 bǎo zhèng
to hold; to carry (in one's arms); to hug or embrace; surround; cherish	抱 bào
report; CL:篇[piān],份[fèn]	报道 bào dào
to sign up; to enter one's name; to apply; to register; to enroll; to enlist	报名 bào míng
sorry; We apologize!; to feel apologetic; to regret	抱歉 bào qiàn
by (indicates passive-voice sentences or clauses); quilt; to cover (literary)	被 bèi
original; originally; at first; it goes without saying; of course	本来 běn lái
stupid; foolish; silly; slow-witted; clumsy	笨 bèn
notebook; CL:本[běn]	笔记本 bǐ jì běn
graduation; to graduate; to finish school	毕业 bì yè
a time; everywhere; turn; all over; one time	遍 biàn
(an official) standard; norm; criterion; CL:個|个[gè]	标准 biāo zhǔn
to voice (an opinion); to express; to convey	表达 biǎo dá
form; table; CL:張|张[zhāng],份[fèn]	表格 biǎo gé
to praise; to commend	表扬 biǎo yáng
biscuit; cracker; cookie; CL:片[piàn],塊|块[kuài]	饼干 bǐng gān
and; besides; moreover; furthermore; in addition	并且 bìng qiě
doctor; court academician (in feudal China); Ph.D.	博士 bó shì
not only (... but also...)	不但 bú dàn
have no choice or option but to; cannot but; have to; can't help it; can't avoid	不得不 bù dé bù
no matter (what, how); regardless of; no matter	不管 bù guǎn
only; merely; no more than; but; however; anyway (to get back to a previous topic)	不过 bú guò
not only (this one); not just (...) but also	不仅 bù jǐn
to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish	擦 cā
to guess	猜 cāi
material; data; makings; stuff; CL:個|个[gè],種|种[zhǒng]	材料 cái liào
to look around; to inspect; visit and observe	参观 cān guān
almost; nearly; more or less	差不多 chà bu duō
to taste; flavor; (past tense marker); already; formerly; ever; once; test	尝 cháng
the Great Wall	长城 Cháng chéng
Changjiang river; Yangtze river	长江 Cháng jiāng
to surpass; to exceed; to outstrip	超过 chāo guò
to quarrel; to make a noise; noisy; to disturb by making a noise	吵 chǎo
success; to succeed; CL:次[cì],個|个[gè]	成功 chéng gōng
honest; honesty; honorable; truthful	诚实 chéng shí
mature; ripe; Taiwan pr. chéng shóu	成熟 chéng shú
to become; to turn into	成为 chéng wéi
to ride (in a vehicle)	乘坐 chéng zuò
to be startled; to be shocked; to be amazed	吃惊 chī jīng
again; once more; re-	重新 chóng xīn
to smoke (a cigarette, tobacco)	抽烟 chōu yān
to go on an official or business trip	出差 chū chāi
to start out; to set off	出发 chū fā
to be born	出生 chū shēng
fax; facsimile	传真 chuán zhēn
window; CL:個|个[gè],扇[shàn]	窗户 chuāng hu
dictionary (of Chinese compound words); also written 辭典|辞典[cí diǎn]; CL:部[bù],本[běn]	词典 cí diǎn
always; at all times; never (if used in negative sentence)	从来 cóng lái
careless; thoughtless	粗心 cū xīn
answer; solution; CL:個|个[gè]	答案 dá àn
to decorate; to dress; to make up; to adorn; manner of dressing; style of dress	打扮 dǎ ban
to disturb; to bother; to trouble	打扰 dǎ rǎo
to print; to seal; to stamp	打印 dǎ yìn
to give a discount	打折 dǎ zhé
to give or have an injection	打针 dǎ zhēn
roughly; probably; rough; approximate; about	大概 dà gài
embassy; CL:座[zuò],個|个[gè]	大使馆 dà shǐ guǎn
approximately; about	大约 dà yuē
to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support	戴 dài
representative; delegate; CL:位[wèi],個|个[gè],名[míng]; to represent; to stand for; on behalf of; in the name of	代表 dài biǎo
doctor; minister of state (in pre-Han states); CL:個|个[gè],位[wèi]	大夫 dài fu
instead; to replace; to substitute (X for Y, or a number in an algebraic expression)	代替 dài tì
to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at	当 dāng
local	当地 dāng dì
then; at that time; while	当时 dāng shí
knife; CL:把[bǎ]	刀 dāo
tour guide; to conduct a tour; a guidebook	导游 dǎo yóu
in all places; everywhere	到处 dào chù
finally; in the end; when all is said and done; after all; to the end; to the last	到底 dào dǐ
to apologize; to make an apology	道歉 dào qiàn
proud of oneself; pleased with oneself; complacent	得意 dé yì
to have to; must; ought to; to need to	得 děi
et cetera; and so on; et al. (and other authors); after; as soon as; once	等 děng
background; bottom; base; the end of a period of time; towards the end of (last month)	底 dǐ
the Earth; planet; CL:個|个[gè]	地球 dì qiú
address; CL:個|个[gè]	地址 dì zhǐ
to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair)	掉 diào
investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:項|项[xiàng],個|个[gè]	调查 diào chá
to lose; to put aside; to throw	丢 diū
movement; motion; action; CL:個|个[gè]	动作 dòng zuò
traffic jam; choking	堵车 dǔ chē
belly; abdomen; stomach; CL:個|个[gè]	肚子 dù zi
to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely, definitely,decidedly	断 duàn
dialog; CL:個|个[gè]	对话 duì huà
opposite	对面 duì miàn
stop; pause; to arrange; to lay out; to kowtow; to stamp; at once; classifier for meals, beating, tellings off etc: time, bout, spell, meal	顿 dùn
flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc	朵 duǒ
and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)	而 ér
child; CL:個|个[gè]	儿童 ér tóng
to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds)	发 fā
to happen; to occur; to take place; to break out	发生 fā shēng
development; growth; to develop; to grow; to expand	发展 fā zhǎn
law; CL:條|条[tiáo], 套[tào], 個|个[gè]	法律 fǎ lǜ
to translate; to interpret; translator; interpreter; translation; interpretation; CL:個|个[gè],位[wèi],名[míng]	翻译 fān yì
agonize; agony; annoyance; upset; vexation; worries	烦恼 fán nǎo
to fight against; to oppose; to be opposed to; opposition	反对 fǎn duì
to mirror; to reflect; mirror image; reflection; fig. to report; to make known; to render; used erroneously for 反應|反应, response or reaction	反映 fǎn yìng
range; scope; limit; extent; CL:個|个[gè]	范围 fàn wéi
method; way; means; CL:個|个[gè]	方法 fāng fǎ
respect; aspect; field; side; CL:個|个[gè]	方面 fāng miàn
direction; orientation; path to follow; CL:個|个[gè]	方向 fāng xiàng
to visit; to call on; to interview; CL:次[cì]	访问 fǎng wèn
to renounce; to abandon; to give up	放弃 fàng qì
take summer vacation	放暑假 fàng shǔ jià
used for fractions and percentages, e.g. 四分之一 is 1/4 and 百分之一 is 1%	...分之... fēn zhī
part; share; portion; copy; classifier for gifts, newspaper, magazine, papers, reports, contracts etc	份 fèn
rich; plentiful; abundant	丰富 fēng fù
scenery; landscape; CL:個|个[gè]	风景 fēng jǐng
if not; otherwise; else; or else	否则 fǒu zé
in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle	符合 fú hé
rich; surname Fu	富 fù
father; also pr. with light tone [fù qin]; CL:個|个[gè]	父亲 fù qīn
to photocopy; to duplicate a document	复印 fù yìn
complicated; complex	复杂 fù zá
to be in charge of; to take responsibility for; to be to blame; conscientious	负责 fù zé
to change; to alter; to transform	改变 gǎi biàn
to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup	干杯 gān bēi
to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid	干燥 gān zào
to move (sb); to touch (sb emotionally); moving	感动 gǎn dòng
to feel; to become aware of; feeling; sense; perception; CL:個|个[gè]	感觉 gǎn jué
feeling; emotion; sensation; likes and dislikes; deep affection for sb or sth; relationship (i.e. love affair); CL:個|个[gè],種|种[zhǒng]	感情 gǎn qíng
(express) thanks; gratitude; grateful; thankful; thanks	感谢 gǎn xiè
high level; high grade; advanced; high-ranking	高级 gāo jí
each; every	各 gè
height; stature; build; size	个子 gè zi
tool; instrument; utensil; means (to achieve a goal etc)	工具 gōng jù
kilometer	公里 gōng lǐ
wages; pay; CL:個|个[gè],份[fèn],月[yuè]	工资 gōng zī
common; joint; jointly; together; collaborative	共同 gòng tóng
to reach; to be enough	够 gòu
shopping	购物 gòu wù
lone; lonely; loneliness	孤单 gū dān
to estimate; to reckon; CL:個|个[gè]	估计 gū jì
to encourage	鼓励 gǔ lì
to applaud; to clap	鼓掌 gǔ zhǎng
client; customer; CL:位[wèi]	顾客 gù kè
deliberately; on purpose	故意 gù yì
to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects	挂 guà
crucial point; crux; CL:個|个[gè]; key; crucial; pivotal	关键 guān jiàn
spectators; audience; visitors (to an exhibition etc)	观众 guān zhòng
to supervise; to manage; to administer; management; administration; CL:個|个[gè]	管理 guǎn lǐ
light; ray; CL:道[dào]; bright; only; merely; to use up	光 guāng
broadcast; widely spread; CL:個|个[gè]	广播 guǎng bō
to advertise; a commercial; advertisement; CL:項|项[xiàng]	广告 guǎng gào
to stroll; to visit	逛 guàng
provision; to fix; to set; to formulate; to stipulate; to provide; regulation; rule; CL:個|个[gè]	规定 guī dìng
international	国际 guó jì
really; sure enough; as expected	果然 guǒ rán
course of events; process; CL:個|个[gè]	过程 guò chéng
ocean; CL:個|个[gè]	海洋 hǎi yáng
blush; shy	害羞 hài xiū
winter vacation	寒假 hán jià
