description	term
to contribute; to donate; contribution; tax; to abandon	捐 juān
to roll up	卷 juǎn
absolute; unconditional	绝对 jué duì
finals (of a competition)	决赛 jué sài
persona; character in a novel	角色 jué sè
determination; resolution; determined; firm and resolute; to make up one's mind; CL:個|个[gè]	决心 jué xīn
military affairs; military matters; military	军事 jūn shì
even; well-distributed; homogeneous	均匀 jūn yún
truck; CL:輛|辆[liàng]	卡车 kǎ chē
exploit (a resource); open up (for development); to develop	开发 kāi fā
to lift (a ban or restriction); to open to the outside world (politics); to open for public use; to come into bloom (of flowers)	开放 kāi fàng
opening ceremony	开幕式 kāi mù shì
to feel happy; to rejoice; to have a great time; to make fun of sb	开心 kāi xīn
to chop; to cut down; to throw sth at sb	砍 kǎn
to look down upon; to despise	看不起 kàn bu qǐ
protest	抗议 kàng yì
roast duck	烤鸭 kǎo yā
classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc	颗 kē
it can clearly be seen (that this is the case); it is (thus) clear; clear; visible	可见 kě jiàn
reliable	可靠 kě kào
awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly	可怕 kě pà
to be able to; to subdue; to restrain; to overcome; gram	克 kè
course; class; CL:堂[táng],节|節[jié],門|门[mén]	课程 kè chéng
(try to) overcome (hardships etc); to conquer; to put up with; to endure	克服 kè fú
objective; impartial	客观 kè guān
hardworking; assiduous	刻苦 kè kǔ
drawing room (room for arriving guests); living room; CL:間|间[jiān]	客厅 kè tīng
space; CL:個|个[gè]	空间 kōng jiān
terrible; frightful; frightening; terror; terrorist	恐怖 kǒng bù
idle; free time; leisure	空闲 kòng xián
control; to exercise control over; to contain	控制 kòng zhì
a person's preferences; tastes (in food); flavor	口味 kǒu wèi
to boast; to exaggerate; to praise	夸 kuā
accountant; accountancy; accounting	会计 kuài jì
mineral spring water; CL:瓶[píng],杯[bēi]	矿泉水 kuàng quán shuǐ
hot pepper; chili	辣椒 là jiāo
candle; CL:根[gēn],支[zhī]	蜡烛 là zhú
to come from (a place); From: (in email header)	来自 lái zì
cut off; hinder	拦 lán
soft; mushy; well-cooked and soft; to rot; to decompose; rotten; worn out; chaotic; messy; utterly; thoroughly	烂 làn
wolf; CL:匹[pǐ],隻|只[zhī],條|条[tiáo]	狼 láng
work; toil; physical labor; CL:次[cì]	劳动 láo dòng
excuse me	劳驾 láo jià
ordinary people; the "person in the street"; CL:個|个[gè]	老百姓 lǎo bǎi xìng
boss; keeper	老板 lǎo bǎn
(informal) mother's mother; maternal grandmother	姥姥 lǎo lao
honest; sincere; open and guileless; naive	老实 lǎo shi
rat; mouse; CL:隻|只[zhī]	老鼠 lǎo shǔ
optimistic; hopeful	乐观 lè guān
thunder; (internet slang) terrifying; terrific	雷 léi
tired; weary; to strain; to wear out; to work hard	累 lèi
kind; type; class; category; similar; like; to resemble	类 lèi
pear; CL:個|个[gè]	梨 lí
to divorce; divorced from (one's spouse)	离婚 lí hūn
centimeter	厘米 lí mǐ
Sunday	礼拜天 lǐ bài tiān
theory; CL:個|个[gè]	理论 lǐ lùn
reason; grounds; justification; CL:個|个[gè]	理由 lǐ yóu
grain; granule; classifier for small round things (peas, bullets, peanuts, pills, grains etc)	粒 lì
cube	立方 lì fāng
immediately	立即 lì jí
forthwith; immediate; prompt; promptly; straightway; thereupon; at once	立刻 lì kè
power; force; strength	力量 lì liang
profits	利润 lì rùn
interest (on a loan); CL:筆|笔[bǐ]	利息 lì xī
benefit; (in sb's) interest; CL:個|个[gè]	利益 lì yì
exploit; make use of; to use; to take advantage of; to utilize	利用 lì yòng
to combine; to join; unite; alliance	联合 lián hé
promptly; at once	连忙 lián máng
serialized drama; dramatic series; show in parts	连续剧 lián xù jù
(romantic) love; in love; to have an affair; CL:個|个[gè]	恋爱 liàn ài
good; favorable; well; fine	良好 liáng hǎo
foodstuff; cereals; CL:種|种[zhǒng]	粮食 liáng shi
amazing; terrific; extraordinary	了不起 liǎo bu qǐ
at the instant sth happens; temporary; interim; ad hoc	临时 lín shí
(small) bell; CL:隻|只[zhī]	铃 líng
flexible; nimble; agile	灵活 líng huó
part; component	零件 líng jiàn
change (of money); small change; pocket money	零钱 líng qián
between-meal nibbles; snacks	零食 líng shí
lead; leading; to lead; leadership; leader; CL:位[wèi],個|个[gè]	领导 lǐng dǎo
domain; sphere; field; territory; area	领域 lǐng yù
to spread; to circulate; to hand down	流传 liú chuán
to skim over; to browse	浏览 liú lǎn
dragon; CL:條|条[tiáo]; imperial	龙 lóng
to leak; to divulge; to leave out by mistake; waterclock or hourglass (old)	漏 lòu
dew; syrup; nectar; outdoors (not under cover); to show; to reveal; to betray; to expose	露 lù
dry land (as opposed to the sea)	陆地 lù dì
to recruit; to enroll	录取 lù qǔ
in turn; successively; one after the other; bit by bit	陆续 lù xù
to record (sound); sound-recording; CL:個|个[gè]	录音 lù yīn
to alternate; to take turns	轮流 lún liú
paper; treatise; thesis; CL:篇[piān]; to discuss a paper or thesis (old)	论文 lùn wén
logic (loanword)	逻辑 luó ji
to fall behind; to lag (in technology etc); backward; to retrogress	落后 luò hòu
to scold; abuse; CL:通[tòng],頓|顿[dùn]	骂 mà
microphone (loanword)	麦克风 mài kè fēng
steamed roll; steamed bun; steamed bread; CL:個|个[gè]	馒头 mán tou
to satisfy; to meet (the needs of)	满足 mǎn zú
hair; feather; down	毛 máo
fault; defect; shortcomings; CL:個|个[gè]	毛病 máo bìng
contradictory; contradiction; CL:個|个[gè]	矛盾 máo dùn
to take risks; to take chances; foray; adventure	冒险 mào xiǎn
(commercial) trade; CL:個|个[gè]	贸易 mào yì
eyebrow; CL:根[gēn]	眉毛 méi mao
coal	煤炭 méi tàn
art; fine arts; painting; CL:種|种[zhǒng]	美术 měi shù
charm; fascination; glamor; charisma	魅力 mèi lì
to lose the way; lost; labyrinth; labyrinthus vestibularis (of the inner ear)	迷路 mí lù
riddle; conundrum	谜语 mí yǔ
bee; honeybee; CL:隻|只[zhī],群[qún]	蜜蜂 mì fēng
secret; CL:個|个[gè]	秘密 mì mì
close; familiar; intimate; closely (related); to foster close ties; to pay close attention	密切 mì qiè
secretary	秘书 mì shū
cotton	棉花 mián hua
to confront; to face	面对 miàn duì
surface area	面积 miàn jī
to face sth; to be confronted with	面临 miàn lín
slim, slender, graceful	苗条 miáo tiáo
to describe; to depict; to portray; description	描写 miáo xiě
second (of time); unit of angle or arc equivalent to one sixtieth of a degree	秒 miǎo
democracy	民主 mín zhǔ
famous brand	名牌 míng pái
(business) card	名片 míng piàn
clear-cut; definite; explicit; to clarify; to specify; to make definite	明确 míng què
historical sites and scenic spots	名胜古迹 míng shèng gǔ jì
clear; distinct; obvious	明显 míng xiǎn
postcard	明信片 míng xìn piàn
star; celebrity	明星 míng xīng
order; command; CL:道[dào],個|个[gè]	命令 mìng lìng
fate; destiny; CL:個|个[gè]	命运 mìng yùn
to feel with the hand; to touch; to stroke; to grope; to feel (one's pulse)	摸 mō
to imitate; to copy; to emulate; to mimic; model	模仿 mó fǎng
vague; indistinct; fuzzy	模糊 mó hu
motorbike; motorcycle; CL:輛|辆[liàng],部[bù]	摩托车 mó tuō chē
strange; unfamiliar	陌生 mò shēng
some; a certain; sb or sth indefinite; such-and-such	某 mǒu
target; goal; objective; CL:個|个[gè]	目标 mù biāo
catalog; table of contents; directory (on computer hard drive); list; contents	目录 mù lù
at the present time; currently	目前 mù qián
slow-witted; blockhead; log (of wood, timber etc); CL:塊|块[kuài],根[gēn]	木头 mù tou
even; even if; even though; no matter how	哪怕 nǎ pà
(it's) no wonder (that...); (it's) not surprising (that)	难怪 nán guài
ugly; unsightly	难看 nán kàn
head; skull; brains; mental capability; CL:顆|颗[kē],個|个[gè]	脑袋 nǎo dài
medicine; "internal" medicine, i.e. treatment by administering drugs, as opposed to surgical intervention 外科[wài kē]; medical department	内科 nèi kē
tender; soft; delicate; light (color); inexperienced; unskilled	嫩 nèn
capable; competent	能干 néng gàn
energy; power source; CL:個|个[gè]	能源 néng yuán
a decade of a century (e.g. the Sixties); age; era; period; CL:個|个[gè]	年代 nián dài
age; CL:把[bǎ],個|个[gè]	年纪 nián jì
to read; to study (a degree course); to read aloud; to miss (sb); idea; remembrance; twenty (banker's anti-fraud numeral corresponding to 廿, 20)	念 niàn
preferably; one would prefer to...(or not to...); would rather; (would) be better to; (to pick) the lesser of two evils	宁可 nìng kě
jeans; CL:條|条[tiáo]; also written 牛崽褲|牛崽裤	牛仔裤 niú zǎi kù
concentrated; dense	浓 nóng
peasant; CL:個|个[gè]	农民 nóng mín
agriculture; farming	农业 nóng yè
lady; madam; CL:個|个[gè],位[wèi]	女士 nǚ shì
incidentally; occasional; occasionally; by chance; randomly	偶然 ǒu rán
to pat; to clap; to slap; fly-swatter; racket; to take (a photograph)	拍 pāi
to line up	排队 pái duì
volleyball; CL:個|个[gè]	排球 pái qiú
clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926	派 pài
to hope for; look forward to	盼望 pàn wàng
to compensate	赔偿 péi cháng
to train; culture; to bring up; to groom (for a position)	培养 péi yǎng
admire	佩服 pèi fú
matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concert with; to cooperate; to become man and wife; to combine parts of machine	配合 pèi hé
basin; flower pot; unit of volume equal to 12 斗 and 8 升, approx 128 liters; CL:個|个[gè]	盆 pén
to run into; to meet (unexpectedly); to bump into	碰见 pèng jiàn
to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)	批 pī
to drape over one's shoulders; to open; to unroll; to split open; to spread out	披 pī
to approve; to ratify	批准 pī zhǔn
fatigue; wearily; weariness; weary	疲劳 pí láo
leather shoes	皮鞋 pí xié
ordinary person; classifier for horses, mules etc; classifier for cloth: bolt	匹 pǐ
thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yī]: classifier for scenario, scene, feeling, atmosphere, sound etc	片 piàn
unilateral; one-sided	片面 piàn miàn
to float	飘 piāo
frequency; (television) channel	频道 pín dào
breed; variety; CL:個|个[gè]	品种 pǐn zhǒng
to lean against; to rely on; on the basis of; no matter (how, what etc); proof	凭 píng
flat; level; equal; to tie (make the same score); to draw (score); calm; peaceful; see also 平聲|平声[píng shēng]	平 píng
ordinary; common; usually; ordinarily	平常 píng cháng
equal; equality	平等 píng děng
square (as in square foot, square mile, square root)	平方 píng fāng
balance; equilibrium	平衡 píng héng
to evaluate; to assess	评价 píng jià
tranquil; undisturbed; serene	平静 píng jìng
average	平均 píng jūn
to go bankrupt; to become impoverished; bankruptcy	破产 pò chǎn
destruction; damage; to wreck; to break; to destroy	破坏 pò huài
urgent; pressing	迫切 pò qiè
plain and simple; unadorned; simple living; not frivolous	朴素 pǔ sù
to look forward to; to await; expectation	期待 qī dài
period of time; time; time period; period; CL:個|个[gè]	期间 qī jiān
miracle; miraculous; wonder; marvel	奇迹 qí jì
the rest; the others; remaining; remainder; apart from them	其余 qí yú
to enlighten; to explain and arouse interest; to inspire; inspiration; heuristic (attributively); to teach; CL:個|个[gè]	启发 qǐ fā
beginning or continuing an action; upward movement; stand up	起来 qǐ lái
attempt; CL:種|种[zhǒng]	企图 qǐ tú
company; firm; enterprise; corporation; CL:家[jiā]	企业 qǐ yè
atmosphere; mood	气氛 qì fēn
gas; gasoline; CL:升[shēng]	汽油 qì yóu
to pull (an animal on a tether); to lead along; to hold hands	牵 qiān
modest; self-effacing; to make modest remarks	谦虚 qiān xū
to sign (a signature)	签字 qiān zì
prospects; future outlook; journey	前途 qián tú
shallow, not deep; superficial	浅 qiǎn
deficient; owe; to lack; yawn	欠 qiàn
gun; firearm; rifle; spear; CL:支[zhī],把[bǎ]	枪 qiāng
to emphasize (a statement); to stress	强调 qiáng diào
intense; (violently) strong	强烈 qiáng liè
fight over; to rush; to scramble; to grab; to rob; to snatch	抢 qiǎng
quietly; secretly; stealthily	悄悄 qiāo qiāo
look at	瞧 qiáo
ingenious; clever	巧妙 qiǎo miào
to cut; to slice; tangent (math)	切 qiē
Dear or beloved (way of starting a letter)	亲爱 qīn ài
invasion; encroachment	侵略 qīn lüè
amiable; friendliness; gracious; hospitality; intimate; cordial; kind; close and dear; familiar	亲切 qīn qiè
personally	亲自 qīn zì
hardworking; diligent	勤奋 qín fèn
hardworking; industrious; diligent	勤劳 qín láo
nature's color; green or blue; greenish black; youth; young (of people); abbr. for Qinghai province 青海	青 qīng
youth; youthfulness	青春 qīng chūn
light (of food, not greasy or strongly flavored); insipid; slack (sales)	清淡 qīng dàn
an adolescent; a youth; young person; teenage; teenager	青少年 qīng shào nián
contempt; contemptuous; to despise; to scorn; scornful	轻视 qīng shì
scene; sight; circumstances; CL:個|个[gè]	情景 qíng jǐng
feeling; sentiment; CL:種|种[zhǒng]	情绪 qíng xù
request; CL:個|个[gè]	请求 qǐng qiú
celebrate	庆祝 qìng zhù
soccer fan; crazy about ball sports; CL:個|个[gè]	球迷 qiú mí
trend; tendency	趋势 qū shì
take a wife; to marry (a woman)	娶 qǔ
to cancel; cancellation	取消 qǔ xiāo
to pass away; to die	去世 qù shì
circle; ring; loop; classifier for loops, orbits, laps of race etc; CL:個|个[gè]	圈 quān
power; right; privilege	权利 quán lì
(wield) power	权力 quán lì
all-around; comprehensive; total; overall	全面 quán miàn
to advise; to urge; to try to persuade; exhort	劝 quàn
shortage; be lacking; to be short of; to lack; scarcity	缺乏 quē fá
definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch; to recognize; to confirm; OK (on computer dialog box)	确定 què dìng
to confirm; to verify; confirmation	确认 què rèn
combustion; flaming; kindle	燃烧 rán shāo
blurt out; to shout	嚷 rǎng
to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex	绕 rào
to love ardently; to adore	热爱 rè ài
warm (welcome etc)	热烈 rè liè
enthusiasm; zeal; zealous; zest; enthusiastic; ardent; warmhearted	热心 rè xīn
a person's talent; talented person; distinguished person; a talent (worth head-hunting); person's looks; an attractive woman; used interchangeably with 人材; CL:個|个[gè]	人才 rén cái
population	人口 rén kǒu
humanity; human race; mankind	人类 rén lèi
human life	人生 rén shēng
human affairs; ways of the world; consciousness of the world; what is humanly possible; personnel matters; sexual awareness; sexual passion; facts of life	人事 rén shì
a person; a character (in a play, novel etc); a protagonist; CL:個|个[gè]	人物 rén wù
staff; crew; personnel; CL:個|个[gè]	人员 rén yuán
cannot help; unable to bear	忍不住 rěn bu zhù
daily; everyday	日常 rì cháng
schedule; itinerary; CL:個|个[gè]	日程 rì chéng
calendar; CL:張|张[zhāng],本[běn]	日历 rì lì
date; CL:個|个[gè]	日期 rì qī
articles for daily use; CL:件[jiàn],個|个[gè]	日用品 rì yòng pǐn
to melt; to thaw; to dissolve; to blend into; to combine; to fuse	融化 róng huà
honored	荣幸 róng xìng
honor; credit; glory; (honorable) reputation	荣誉 róng yù
how; what way; what	如何 rú hé
nowadays; now	如今 rú jīn
(computer) software	软件 ruǎn jiàn
weak; feeble; young; inferior; (following a decimal or fraction) slightly less than	弱 ruò
to sprinkle; to spray; to spill; to shed	洒 sǎ
throat; voice; CL:把[bǎ]	嗓子 sǎng zi
to kill; to murder; to fight; to weaken or reduce; to smart (topolect); to counteract; (used after a verb) extremely	杀 shā
desert; CL:個|个[gè]	沙漠 shā mò
sand bar; beach; CL:片[piàn]	沙滩 shā tān
foolish	傻 shǎ
to dry in the sun; to sunbathe; to share files (loan from "share")	晒 shài
to delete; to cancel	删除 shān chú
lightning; CL:道[dào]	闪电 shǎn diàn
good and honest; kind-hearted	善良 shàn liáng
be good at; be adept in	善于 shàn yú
good; commodity; merchandise; CL:個|个[gè]	商品 shāng pǐn
business; trade; commerce	商业 shāng yè
on; on top; upon; first (of multiple parts); previous; last; upper; higher; above; to climb; to go into; to go up; to attend (class or university)	上 shàng
taken in (by sb's deceit); to be fooled; to be duped	上当 shàng dàng
scoop; ladle; CL:把[bǎ]	勺子 sháo zi
snake; serpent; CL:條|条[tiáo]	蛇 shé
tongue; CL:個|个[gè]; enemy soldier captured for the purpose of extracting information	舌头 shé tou
to hate to do sth; to hate to part with; to begrudge	舍不得 shě bu de
equipment; facilities; installations; CL:個|个[gè]	设备 shè bèi
to shoot; to fire (a gun)	射击 shè jī
plan; design; to design; to plan; CL:個|个[gè]	设计 shè jì
facilities; installation	设施 shè shī
to take a photograph; photography; to shoot (a movie)	摄影 shè yǐng
to stretch; to extend	伸 shēn
stature; build (height and weight); figure	身材 shēn cái
identity; status; capacity; dignity; position; rank	身份 shēn fèn
profound; deep; deep-going	深刻 shēn kè
fairy tale; mythology; myth	神话 shén huà
nerve	神经 shén jīng
mysterious; mystery	神秘 shén mì
to raise; to hoist; to promote; metric liter (also written 公升); measure for dry grain equal to one-tenth dou 斗	升 shēng
childbirth; parturition; to produce; manufacture	生产 shēng chǎn
tone; note; a tone (on a Chinese syllable); CL:個|个[gè]	声调 shēng diào
vivid; lively	生动 shēng dòng
cord; string; rope; CL:條|条[tiáo]	绳子 shéng zi
to leave out; an omission	省略 shěng lüè
victory; CL:個|个[gè]	胜利 shèng lì
poem; CL: 首[shǒu]; poetry; verse; abbr. for Book of Songs 詩經|诗经[shī jīng]	诗 shī
(suffer from) insomnia	失眠 shī mián
to lose	失去 shī qù
unemployment	失业 shī yè
age; era; epoch; period; CL:個|个[gè]	时代 shí dài
truth	实话 shí huà
to practice; to put into practice; to fulfill	实践 shí jiàn
moment; CL:個|个[gè]; constantly; always	时刻 shí kè
in vogue; fashionable	时髦 shí máo
a period in time or history; period; time (interval); phase; CL:個|个[gè]	时期 shí qī
fashion	时尚 shí shàng
stone; CL:塊|块[kuài]	石头 shí tou
food; CL:種|种[zhǒng]	食物 shí wù
to practice; field work	实习 shí xí
to achieve; to implement; to realize; to bring about	实现 shí xiàn
to implement; to carry out; to put into practice	实行 shí xíng
to experiment; experiments; CL:個|个[gè],次[cì]	实验 shí yàn
practical; functional; pragmatic; applied (science)	实用 shí yòng
to exert all one's strength	使劲儿 shǐ jìn r5
from beginning to end; all along	始终 shǐ zhōng
soldier; CL:個|个[gè]	士兵 shì bīng
seems as if; rather like;	似的 shì de
whether (or not); if; is or isn't	是否 shì fǒu
examination paper; test paper; CL:份[fèn],張|张[zhāng]	试卷 shì juàn
affair; matter; thing; business; CL:件[jiàn],樁|桩[zhuāng]	事情 shì qing
a fact; the fact that; CL:個|个[gè]	事实 shì shí
thing; object; CL:個|个[gè]	事物 shì wù
in advance; before the event; beforehand; prior	事先 shì xiān
benefit; reward	收获 shōu huò
receipt; CL:張|张[zhāng]	收据 shōu jù
handwork; manual	手工 shǒu gōng
surgical operation; operation; surgery; CL:個|个[gè]	手术 shǒu shù
glove; mitten; CL:雙|双[shuāng],隻|只[zhī]	手套 shǒu tào
formalities; procedures; CL:道[dào],個|个[gè]	手续 shǒu xù
finger; CL:個|个[gè],隻|只[zhī]	手指 shǒu zhǐ
to receive; to suffer; obtained; given	受到 shòu dào
life span; life expectancy	寿命 shòu mìng
to sustain injuries; wounded (in an accident etc); harmed	受伤 shòu shāng
vegetables; produce; CL:種|种[zhǒng]	蔬菜 shū cài
bookshelf; CL:個|个[gè]	书架 shū jià
to import; to input	输入 shū rù
cozy; snug	舒适 shū shì
comb; CL:把[bǎ]	梳子 shū zi
practiced; proficient; skilled; skillful	熟练 shú liàn
mouse (computing)	鼠标 shǔ biāo
classified as; to belong to; to be part of	属于 shǔ yú
data; numbers; digital; also written 數據|数据	数据 shù jù
number; numerals; figures; digital; amount; numerical code	数码 shù mǎ
to throw down; to fall; to drop and break	摔 shuāi
to throw; to fling; to swing; to leave behind; to throw off	甩 shuǎi
bilateral; both sides; both parties involved	双方 shuāng fāng
taxes; duties	税 shuì
can't say for sure; maybe	说不定 shuō bu dìng
to persuade; to convince; to talk sb over; Taiwan pr. shuì fú	说服 shuō fú
to tear	撕 sī
silk cloth; silk	丝绸 sī chóu
the slightest amount or degree; a bit	丝毫 sī háo
to reflect on; to ponder over	思考 sī kǎo
private (citizen); private	私人 sī rén
thought; thinking; idea; ideology; CL:個|个[gè]	思想 sī xiǎng
apparently; to seem; to appear; as if; seemingly	似乎 sì hū
temple; monastery; shrine	寺庙 sì miào
dormitory; dorm room; living quarters; hostel; CL:間|间[jiān]	宿舍 sù shè
at any time	随时 suí shí
to break down; to break into pieces; fragmentary	碎 suì
grandson (paternal)	孙子 sūn zi
loss; damage; CL:個|个[gè]; to lose; to damage	损失 sǔn shī
to curtail; to cut down	缩短 suō duǎn
reduce; decrease	缩小 suō xiǎo
actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[gè]	所 suǒ
to lock up; to lock; CL:把[bǎ]	锁 suǒ
so-called; what is called	所谓 suǒ wèi
pagoda; tower; minaret; stupa (abbr. loanword from Sanskrit tapo); CL:座[zuò]	塔 tǎ
flight of steps (leading up to a house); step (over obstacle); bench; fig. way out of an embarrassing situation	台阶 tái jiē
shadowboxing or Taiji, T'aichi or T'aichichuan; traditional form of physical exercise or relaxation; a martial art	太极拳 tài jí quán
married woman; Mrs.; Madam; wife; CL:個|个[gè],位[wèi]	太太 tài tai
to negotiate; negotiation; talks; conference; CL:個|个[gè]	谈判 tán pàn
frank (discussion); blunt; open	坦率 tǎn shuài
quantifier for the number of trips or runs made	趟 tàng
to scald; to burn; to iron; hot	烫 tàng
peach	桃 táo
to escape; to run away; to flee	逃 táo
to escape; to evade; to avoid; to shirk	逃避 táo bì
cover; sheath; to encase; a case; to overlap; to interleave; bend (of a river or mountain range, in place names); harness; classifier for sets, collections; tau (Greek letter Ττ)	套 tào
special; particular; unusual; extraordinary	特殊 tè shū
specially; intentionally	特意 tè yì
characteristic; diagnostic property; distinctive feature; trait	特征 tè zhēng
to love dearly	疼爱 téng ài
to carry; to lift; to raise	提 tí
to promote; to advocate	提倡 tí chàng
the key point; outline	提纲 tí gāng
subject; title; topic; CL:個|个[gè]	题目 tí mù
to question; to quiz; to grill	提问 tí wèn
know (through learning or by experience); CL:個|个[gè]	体会 tǐ huì
volume; bulk; CL:個|个[gè]	体积 tǐ jī
considerate (of other people's needs)	体贴 tǐ tiē
to embody; to reflect; to incarnate	体现 tǐ xiàn
to experience for oneself	体验 tǐ yàn
sky	天空 tiān kōng
naive; innocent; artless	天真 tiān zhēn
field; open land; CL:片[piàn]	田野 tián yě
naughty; mischievous; unruly	调皮 tiáo pí
adjustment; revision; CL:個|个[gè]	调整 tiáo zhěng
challenge	挑战 tiǎo zhàn
regular; usual; ordinary; normal	通常 tōng cháng
communications; a news story (e.g. dispatched over the wire); CL:個|个[gè]	通讯 tōng xùn
copper (chemistry); see also 紅銅|红铜[hóng tóng]; CL:塊|块[kuài]	铜 tóng
at the same time; simultaneously	同时 tóng shí
to unify; to unite; to integrate	统一 tǒng yī
to rule (a country); to govern; rule; regime	统治 tǒng zhì
pain; suffering; painful; CL:個|个[gè]	痛苦 tòng kǔ
overjoyed; delighted; happily; heartily; enjoying; also pr. tòng kuai	痛快 tòng kuài
investment; to invest	投资 tóu zī
transparent; open (non-secretive)	透明 tòu míng
prominent; outstanding; to give prominence to; to protrude; to project	突出 tū chū
land; territory; soil; local god; Lar; genius loci; CL:片[piàn]	土地 tǔ dì
potato; CL:個|个[gè]	土豆 tǔ dòu
to vomit; to throw up	吐 tù
hare; rabbit; CL:隻|只[zhī]	兔子 tù zi
regiment; round; circular; group; society	团 tuán
to decline (an appointment, invitation etc)	推辞 tuī cí
to extend; to spread; to popularize; CL:個|个[gè]	推广 tuī guǎng
to recommend; recommendation	推荐 tuī jiàn
retreat; to decline; to move back; to withdraw	退 tuì
degenerate; regress	退步 tuì bù
retirement (from work)	退休 tuì xiū
askew; at a crooked angle; devious; noxious	歪 wāi
diplomacy; diplomatic; foreign affairs; CL:個|个[gè]	外交 wài jiāo
bend; bent; CL:道[dào]	弯 wān
plaything; toy	玩具 wán jù
perfect; perfection; perfectly	完美 wán měi
perfect; to make perfect; to improve	完善 wán shàn
complete; intact	完整 wán zhěng
just in case; if by any chance; contingency	万一 wàn yī
prince; son of a king	王子 wáng zǐ
to go back and forth; to go to and fro	往返 wǎng fǎn
to jeopardize; to harm; to endanger; CL:個|个[gè]	危害 wēi hài
smile; CL:個|个[gè]	微笑 wēi xiào
to threaten; to menace	威胁 wēi xié
to violate (a law)	违反 wéi fǎn
to defend; to safeguard; to protect; to uphold; to maintain	维护 wéi hù
scarf; shawl; CL:條|条[tiáo]	围巾 wéi jīn
to revolve around; to center on (an issue)	围绕 wéi rào
only; sole	唯一 wéi yī
tail	尾巴 wěi ba
great; mighty; large	伟大 wěi dà
to feel wronged; to nurse a grievance; to cause sb to feel wronged	委屈 wěi qū
to entrust; to trust; to commission	委托 wěi tuō
to fear	畏 wèi
stomach; CL:個|个[gè]	胃 wèi
not necessarily; maybe not	未必 wèi bì
future; tomorrow; approaching; coming; pending; CL:個|个[gè]	未来 wèi lái
bathroom; toilet; WC; CL:間|间[jiān]	卫生间 wèi shēng jiān
position; place; seat; CL:個|个[gè]	位置 wèi zhi
warm	温暖 wēn nuǎn
gentle and soft; tender	温柔 wēn róu
to hear; news; well-known; famous; reputation; fame; to smell; to sniff at; surname Wen	闻 wén
document; file; CL:份[fèn]	文件 wén jiàn
stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)	文具 wén jù
civilized; civilization; culture; CL:個|个[gè]	文明 wén míng
literature; CL:種|种[zhǒng]	文学 wén xué
kiss; mouth	吻 wěn
steady; stable; stability; to stabilize; to pacify	稳定 wěn dìng
to give one's respects; to send a greeting	问候 wèn hòu
bedroom; CL:間|间[jiān]	卧室 wò shì
house; room; CL:間|间[jiān]	屋子 wū zi
without choice; for lack of better option; grudgingly; willy-nilly; nolens volens; abbr. for 無可奈何|无可奈何[wú kě nài hé]	无奈 wú nài
countless; numberless; innumerable	无数 wú shù
weapon; arms; CL:種|种[zhǒng]	武器 wǔ qì
military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); self-defense; tradition of choreographed fights from opera and film (recent usage); also called kungfu 功夫; CL:種|种[zhǒng]	武术 wǔ shù
fog; mist; CL:場|场[cháng],陣|阵[zhèn]	雾 wù
physics; physical	物理 wù lǐ
matter; substance; material; materialistic; CL:個|个[gè]	物质 wù zhì
to absorb; to assimilate; to ingest	吸收 xī shōu
to connect; to relate to; to tie up; to bind; to be (literary)	系 xì
details; particulars	细节 xì jié
drama; play; theater	戏剧 xì jù
system; CL:個|个[gè]	系统 xì tǒng
blind; groundlessly; foolishly; to no purpose	瞎 xiā
to frighten; to scare; to intimidate; to threaten	吓 xià
to download; also pr. xià zài	下载 xià zǎi
bright-colored; gaily-colored	鲜艳 xiān yàn
to seem; to look; to appear	显得 xiǎn de
clear; evident; obvious(ly)	显然 xiǎn rán
to show; to illustrate; to display; to demonstrate	显示 xiǎn shì
county, PRC administrative division below prefecture 地區|地区[dì qù]; CL:個|个[gè]	县 xiàn
cash	现金 xiàn jīn
reality; actuality; real; actual; CL:個|个[gè]	现实 xiàn shí
appearance; phenomenon; CL:個|个[gè]	现象 xiàn xiàng
get along with each other	相处 xiāng chǔ
equivalent to; appropriate; considerably; to a certain extent; fairly	相当 xiāng dāng
relatively; opposite; to resist; to oppose; relative; vis-a-vis	相对 xiāng duì
interrelated; correlation; dependence; relevance; mutuality	相关 xiāng guān
to link; to join; link; connection	相连 xiāng lián
to resemble; similar; like; resemblance; similarity	相似 xiāng sì
miss; remember with longing; long to see again	想念 xiǎng niàn
