nôm	vn	th	Meaning-vn	meaning-th	etymology	viet-only	main-chunom
𤥑	vòng	วง	ring	ring	From Proto-Mon-Khmer *wiŋ ~ *wiiŋ ~ *wiəŋ ~ *waiŋ ~ *wəŋ ~ *wuəŋ ~ *wuŋ ~ *wuuŋ (“to go round; to turn”); cognate with Khmer វង់ (vŭəng, “circle”). Related to vồng, quầng, vầng.	TRUE	TRUE
兎	thỏ	เถาะ	rabbit	rabbit	Non-Sino-Vietnamese reading of Chinese 兔 (SV: thố).	TRUE	TRUE
㭲	cóc	กอก กบ	olive toad	olive toad	From Middle Vietnamese căóc, cóc.	TRUE	TRUE
𡗋	lắm	หลาย	very	very	From Proto-Tai *ʰlaːjᴬ (“many; much”), from Old Chinese 多 (OC *[t.l]ˤaj) (B-S). Cognate with Northern Thai ᩉ᩠ᩃᩣ᩠ᨿ, Lao ຫຼາຍ (lāi), Lü ᦜᦻ (l̇aay), Khün ᩉ᩠ᩃᩣ᩠ᨿ, Shan လၢႆ (lǎay), Bouyei laail, Zhuang lai, Saek หล่าย. Compare Jizhao laːi²¹.	TRUE	TRUE
䏾	bụng	พุง	belly	belly	From Proto-Vietic *buːŋʔ, from Proto-Mon-Khmer *buŋ() ~ *buuŋʔ. Cognate with Khmer ពុង (pung), Mon ဗုၚ် (pɜ̀ŋ), Thai พุง (pung).  In Vietnamese culture, instead of "heart", traditionally "belly, abdomen" was considered to be where people harbor their feelings and emotions. See also lòng (“intestine”) and dạ (“belly, stomach”).	TRUE	TRUE
𦠰	vác	แบก	carry	carry	From Proto-Vietic *ɓaːk (“to carry (on shoulder)”) (though initial is irregular). Cognate with Northern Thai ᨷᩯ᩠ᨠ, Lao ແບກ (bǣk), Tai Dam ꪵꪚꪀ, Shan မႅၵ်ႇ (màek) or ဝႅၵ်ႇ (wàek), Ahom 𑜉𑜢𑜀𑜫 (mik), Nong Zhuang mbeg.	TRUE	TRUE
𫣱	bẹp	บีบ	crush	crush	Cognate with Lao ບີບ (bīp), Tai Dam ꪚꪲꪚ, Shan မိပ်ႇ (mìp) or ဝိပ်ႇ (wìp).	TRUE	TRUE
塘	đàng	ทาง	path	path	(archaic or dialectal, Central Vietnam) Alternative form of đường (“road”)       □ 1944, Lưu Hữu Phước (lyrics and music), “Lên đàng [Hit the Road]”:	TRUE	TRUE
指	chỉ	ชี้	point	point	From Proto-Vietic *cih (“to point”); probably related to Sino-Vietnamese word from 指 (“finger”). From Proto-Tai *ɟiːᶜ (“to point”), from Middle Chinese 指 (MC t͡ɕˠiɪX, “finger; to point; to indicate”). Cognate with Northern Thai ᨩᩦ᩶, Lao ຊີ້ (sī), Lü ᦋᦲᧉ (tsii2), Tai Dam ꪋꪲ꫁, Shan ၸီႉ (tsḭ̂i), Ahom 𑜋𑜣 (chī), Nong Zhuang jix. Compare Vietnamese chỉ, chĩa.	FALSE	TRUE
𨢇	rượu	เหล้า	alcohol	alcohol	From Proto-Vietic *raːwʔ; cognate with Muong rão, Tho [Cuối Chăm] /riɛw⁴/, Proto-Pong /*riɛw⁴/. Compare Proto-Tai *ʰlawᶜ (whence Thai เหล้า (lâo)), Chinese 醪 (OC *ruːw). From Proto-Tai *ʰlawᶜ. Cognate with Northern Thai ᩉᩖᩮᩢ᩶ᩣ, Lao ເຫຼົ້າ (lao), Lü ᦜᧁᧉ (l̇aw2), Tai Dam ꪹꪨ꫁ꪱ, Shan လဝ်ႈ (lāw), Tai Nüa ᥘᥝᥲ (làw), Phake လွ် (law), Ahom 𑜎𑜨𑜧 (low), Bouyei lauc, Zhuang laeuj, Saek เล̂า. Compare Middle Chinese 醪 (MC lɑu, “liquor”).	TRUE	TRUE
鵸	gà	ไก่	chicken	chicken	From Proto-Vietic *r-kaː. Cognate with Thavung กา. Compare Khmer រកា (rɔkaa, “ Year of the Rooster”).	TRUE	TRUE
膠	keo	กาว	glue	glue	Non-Sino-Vietnamese reading of Chinese 膠 (“glue”, SV: giao), unattested. Cognate with Thai กาว (gaao), Lao ກາວ (kāo), Burmese ကော် (kau), Khmer កាវ (kaaw).	FALSE	TRUE
猫	meo	แมว	cat	cat	From Proto-Southwestern Tai *mɛːwᴬ² (“cat”), of onomatopoeic origin. Cognate with Northern Thai ᨾᩯ᩠ᩅ, Lao ແມວ (mǣu), Lü ᦶᦙᧁ (maew), Tai Dam ꪵꪣꪫ, Shan မႅဝ်း (máew), Tai Nüa ᥛᥦᥝᥴ (máew), Phake မိဝ် (miw), Ahom 𑜈𑜢𑜈𑜫 (biw). Compare Zhuang meuz, Chinese 貓, Vietnamese mèo, Khasi miaw.	TRUE	TRUE
腰	eo	เอว	waist	waist	From Proto-Tai *ˀjeːwᴬ (“waist”), from Middle Chinese 腰 (MC ʔiᴇu, “waist”). Cognate with Northern Thai ᩋᩯ᩠ᩅ, Lao ແອວ (ʼǣu), Tai Dam ꪵꪮꪫ, Shan ဢႅဝ် (ʼǎew), Zhuang yiu. Possibly related to เอี้ยว (îao, “to twist, to bend (one's body)”).	FALSE	TRUE
餅	bánh	ปัง	cake	cake / bread	French 'bread' From Old Occitan, from Vulgar Latin *baneum, from Latin balneum.	TRUE	TRUE
吟	ngâm	อม	hold in mouth	hold in mouth	From Proto-Mon-Khmer *ŋǝm ~ *ŋam (“to immerse, soak”); cognate with Muong ngâm, Khasi ngam (“to dive into”).	TRUE	TRUE
𠅒	mất	หมด	pass away	finished / exhausted	From Proto-Vietic *ɓǝt; cognate with Arem bʉt. Cognate with Northern Thai ᩉ᩠ᨾᩫᨯ, Lao ໝົດ (mot), Lü ᦷᦖᧆ (ṁod), Shan မူတ်း (múut). Compare Middle Chinese 歿 (MC muət̚) 歿 to die Alternative form of 沒／没. to sink, to have no.	TRUE	TRUE
𤎜	sáng	แสง	shining	shine	From Proto-Vietic *p-laːŋʔ (“bright”) (in which *pl- had changed to *pʰr- and from there developed to its current form), from Proto-Mon-Khmer *plaaŋʔ. Cognates with láng (in sáng láng), Tho [Cuối Chăm] blaːŋ³. Compare also Thai ปลั่ง (bplàng).  Cognate with Old Khmer សេង (sēṅa, seṅ, “radiance, brilliance; luster, gleam; etc”), modern Khmer សែង (saeng), Northern Thai ᩈᩯ᩠ᨦ, Lao ແສງ (sǣng), Lü ᦶᦉᧂ (ṡaeng), Ahom 𑜏𑜢𑜂𑜫 (siṅ).  	TRUE	TRUE
𥹸	bột	บด	flour	crush into powder	Sino-Vietnamese word from 勃 (“fine powder”), from an obsolete reading.	TRUE	TRUE
燶	nóng	ร้อง	hot	hot	From Proto-Vietic *p-ɗuŋʔ ~ *p-ruŋʔ (“hot”).	TRUE	TRUE
