Language,ISO,Source_ID,Source_page,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,DL1.phon,DL2.phon,DL3.phon,DL4.phon
Nyo-Site26_nyw,nyw,koowatthanasiri1981,"209-213, 256-257",,,,,,,,,,,,,,,,,,,,
NyoGroup1_nyw,nyw,koowatthanasiri1981,258-259,,,,,,,,,,,,,,,,,,,,
NyoGroup2_nyw,nyw,koowatthanasiri1981,259-261,,,,,,,,,,,,,,,,,,,,
NyoGroup3_nyw,nyw,koowatthanasiri1981,261,,,,,,,,,,,,,,,,,,,,
NyoGroup4_nyw,nyw,koowatthanasiri1981,261-262,,,,,,,,,,,,,,,,,,,,
NyoGroup5_nyw,nyw,koowatthanasiri1981,262-263,,,,,,,,,,,,,,,,,,,,
NyoGroup6_nyw,nyw,koowatthanasiri1981,263,,,,,,,,,,,,,,,,,,,,
NyoGroup7_nyw,nyw,koowatthanasiri1981,264,,,,,,,,,,,,,,,,,,,,
NyoPintasaard_nyw,nyw,pintasaard2004development,75-76,312,312,312,33,31,31,31,243,31,243,243,243,24,24,24,31,31,31,31,243
NyoBoonsner_nyw,nyw,boonsner1984phonological,"66,??",12,12,12,55,31,31,31,343,31,31,343,343,34,34,34,21,21,21,21,34
NyoLaksanawong_nyw,nyw,laksanawong2008comparative,44-47,24,24,24,34,31,31,31,452,31,44,44,44,44,44,44,31,34,34,34,452
NyoUthen_nyw,nyw,hudak1997_7,289-291,14,14,14,33,31?,31?,31?,54?,43?,43?,43?,45?,45?,45?,45?,54?,31?,31?,31?,43?
NyoSakonnakhon_nyw,nyw,hudak1997_8,303-305,24,24,24,44,21,21,21,454?,41?,41?,41?,454?,24,24,24,44,21,21,21,41?
Nyo1_nyw,nyw,khamrueangsi2002subgrouping,61-62,24,24,24,443,332,332,332,44?,445,445,445,445,45?,45?,45?,44,332,332,332,44?
Nyo2_nyw,nyw,khamrueangsi2002subgrouping,63-65,224,224,224,443,332,332,332,45,22?,342,342,342,45,45,45,33,332,332,332,332
Nyo3_nyw,nyw,khamrueangsi2002subgrouping,65-67,224,224,224,443,332,332,332,443,33?,453,453,453,45?,45?,45?,33,332,332,332,443
Nyo4_nyw,nyw,khamrueangsi2002subgrouping,67-69,224,224,224,443,332,332,332,332,44?,44?,44?,335,45?,45?,45?,33,332,332,332,44?
Nyo5_nyw,nyw,khamrueangsi2002subgrouping,69-71,224,224,224,443,332,332,332,44?,332,44?,44?,24?,45?,45?,45?,33,332,332,332,454
Nyo6_nyw,nyw,khamrueangsi2002subgrouping,71-73,224,224,224,443,332,332,332,452,332,44?,44?,24?,45?,45?,45?,33,332,332,332,44?
Nyo7_nyw,nyw,khamrueangsi2002subgrouping,74-76,244,244,244,443,331,331,331,452,331,44?,44?,34?,45?,45?,45?,33,331,331,331,44?
Nyo8_nyw,nyw,khamrueangsi2002subgrouping,76-78,244,244,244,443,332,332,332,442,332,353,353,34?,45,45,45,33,332,332,332,44?
Nyo9_nyw,nyw,khamrueangsi2002subgrouping,78-80,244,244,244,443,332,332,332,452,332,443,443,445,45?,45?,45?,44,332,332,332,443
Nyo10_nyw,nyw,khamrueangsi2002subgrouping,80-82,244,244,244,443,332,332,332,443,44?,44?,44?,24?,45?,45?,45?,33?,332,332,332,332
Nyo11_nyw,nyw,khamrueangsi2002subgrouping,82-84,224,224,224,443,332,332,332,443,332,44?,44?,35?,45?,45?,45?,33,332,332,332,332
Nyo12_nyw,nyw,khamrueangsi2002subgrouping,84-86,224,224,224,443,331,331,331,44,44?,44?,44?,445?,45?,45?,45?,44,331,331,331,341
Nyo13_nyw,nyw,khamrueangsi2002subgrouping,86-88,224,224,224,44,332,332,332,443,332,334,334,334,45,45,45,33,332,332,332,443
Nyo14_nyw,nyw,khamrueangsi2002subgrouping,88-90,4545,224,224,224,o,331,331,331,442,442,442,45?,45?,45?,45?,44,331,331,331,331
Nyo15_nyw,nyw,khamrueangsi2002subgrouping,91-92,2214,3324,3324,3324,342,342,342,554,44?,44?,44?,445?,45?,45?,45?,443,342,342,342,554
Nyo16_nyw,nyw,khamrueangsi2002subgrouping,93-95,4545,24,24,24,332,332,332,552,33?,33?,33?,24?,45,45,45,33,332,332,332,442
Nyo17_nyw,nyw,khamrueangsi2002subgrouping,95-96,34,34,34,443,332,332,332,332,442,442,442,45,45,45,45,33,332,332,332,442
Nyo18_nyw,nyw,khamrueangsi2002subgrouping,97-98,24,24,24,443,442,442,442,442,44?,44?,44?,24,45,45,45,44,442,442,442,453
Nyo19_nyw,nyw,khamrueangsi2002subgrouping,99-101,213,24,24,24,331,331,331,452,44?,44?,44?,244,45,45,45,44,331,331,331,452
Nyo20_nyw,nyw,khamrueangsi2002subgrouping,101-102,24,24,24,34,331,331,331,442,44?,44?,44?,35?,45,45,45,33,331,331,331,442
Nyo21_nyw,nyw,khamrueangsi2002subgrouping,103-104,24,334,334,334,221,221,221,553,44?,44?,44?,44?,45,45,45,44,221,221,221,453
Nyo22_nyw,nyw,khamrueangsi2002subgrouping,105-107,3425,334,334,334,3425,3425,3425,332,3425,44?,44?,445?,445,445,445,44,3425,3425,3425,443
Nyo23_nyw,nyw,khamrueangsi2002subgrouping,107-109,3424,225,225,225,2314,2314,2314,342,44?,44?,44?,445?,45,45,45,44,221,221,221,221
Nyo24_nyw,nyw,khamrueangsi2002subgrouping,109-111,3324,335,335,335,3324,3324,3324,552,44?,44?,44?,445?,445,445,445,44,3324,3324,3324,552
Nyo25_nyw,nyw,khamrueangsi2002subgrouping,111-112,332,3342,3342,3342,332,332,332,443,332,33?,33?,445?,445?,445?,445?,44,332,332,332,443
Nyo26_nyw,nyw,khamrueangsi2002subgrouping,113-114,3434,224,224,224,353,353,353,443,44?,44?,44?,45,45,45,45,44,353,353,353,453
Nyo27_nyw,nyw,khamrueangsi2002subgrouping,115-116,3434,332,332,332,3434,3434,3434,342,44?,44?,44?,24?,45,45,45,44,3434,3434,3434,342
Nyo28_nyw,nyw,khamrueangsi2002subgrouping,117-119,24,24,24,445,33,33,33,33,332?,332?,332?,45?,335,335,335,44,33,33,33,443
Nyo29_nyw,nyw,khamrueangsi2002subgrouping,119-120,224,332,332,445,342,342,342,342,332?,332?,332?,45?,45?,45?,45?,33,342,342,342,332
Nyo30_nyw,nyw,khamrueangsi2002subgrouping,121-122,4545,344,344,344,342,342,342,342,332,332,332,445?,445?,445?,445?,33,332,332,332,454
Nyo31_nyw,nyw,khamrueangsi2002subgrouping,123-124,4545,334,334,334,44,44,44,44,332,332,332,445?,445?,445?,445?,33,443,443,443,443
Nyo32_nyw,nyw,khamrueangsi2002subgrouping,125-127,24,24,24,443,3442,3442,3442,342?,342?,342?,342?,24?,45,45,45,33,3442,3442,3442,44
Nyo33_nyw,nyw,khamrueangsi2002subgrouping,127-129,24,443,443,443,332,332,332,242,44?,44?,44?,24?,24?,24?,24?,33,332,332,332,44
Nyo34_nyw,nyw,khamrueangsi2002subgrouping,129-130,24,24,24,445,331,331,331,331,44?,44?,44?,45?,45?,45?,45?,33,331,331,331,331
Yay_pcc,pcc,hudak2008comparative_16,49-53,33,33,33,454,22,22,22,41,13,13,45,45,13,13,13,33,22,22,22,41
TaiHongjin1_pdi,pdi,zhou2001_4,,,,,,,,,,,,,,,,,,,,,
TaiPhake_phk,phk,pintasaard2004development,64-65,45,55,55,55,33,33,33,11,21?,21?,21?,21,33,33,33,11,33,33,33,11
PhakeMorey_phk,phk,morey2010phake,,,,,,,,,,,,,,,,,,,,,
PhakeBanchob_phk,phk,banchob1987,,,,,,,,,,,,,,,,,,,,,
PhakeDiller_phk,phk,diller1992,,,,,,,,,,,,,,,,,,,,,
PhakeWilaiwan_phk,phk,wilaiwan1983,,,,,,,,,,,,,,,,,,,,,
PhuThaiPintasaard_pht,pht,pintasaard2004development,72-73,24,24,24,31,31,31,31,44,53,53,53,45,45,45,45,53,31,31,31,31
PhuThaiLaksanawong_pht,pht,laksanawong2008comparative,49-52,24,24,24,33,41,41,41,41,453,453,453,44,44,44,44,41,33,33,33,41
PhuThaiPhannanikom_pht,pht,hudak1997_9,323-325,13,13,13,332,332,332,332,45?,33?,33?,33?,45?,45?,45?,45?,33?,332,332,332,33?
PhuThaiWaritchaphum_pht,pht,hudak1997_10,347-349,34,34,34,44,22,22,22,43?,33?,33?,33?,45?,34,34,34,33?,33?,33?,33?,43?
LaoPhuanSukpiti_phu,phu,sukpiti1989,48-51,24,44,44,44,33,33,33,44,35,44,44,44,44,44,44,41,31,31,31,41
LaoPhuanSungvanthrup_phu,phu,sungvanthrup1991,75-81,24,33,33,33,11,11,11,42,44?,44,44,44,112,112,112,44,11,11,11,42
Phuan_phu,phu,pintasaard2004development,74-75,24,33,33,33,11,11,11,53,55,55,55,35,35,35,35,55,11,11,11,53
TaiYai_shn,shn,jantanakom1983,83-89,25,25,25,55,11?,11?,11?,31,53?,53?,53?,51?,55,55,55,51?,11?,11?,11?,31
ShanJonsson_shn,shn,jonsson1991,,,,,,,,,,,,,,,,,,,,,
ShanHudak_shn,shn,hudak2008comparative_4,14-17,35,35,35,55?,11?,11?,11?,33,33,33,33,53?,55?,55?,55?,53?,11?,11?,11?,33
HsiPawShan_shn,shn,hudak1994_7,597-600,24,24,24,55,21,21,21,31?,31?,31?,31?,41?,55,55,55,41?,21,21,21,31?
CheFangShan_shn,shn,hudak1994_9,777-779,25,33,33,55,21?,21?,21?,33,41?,41?,41?,54,"21?,25","21?,25","21?,25",33,21?,21?,21?,54
MuongKhawnShan_shn,shn,hudak1994_10,829-831,45,32,32,44,11,11,11,32,31?,31?,31?,31?,11,11,11,32,45,45,45,31?
KengTungShan_shn,shn,hudak1994_11,873-875,24,24,55,55,11?,11?,11?,33?,33?,33?,33?,41?,55,55,55,41?,11?,11?,11?,33?
Saek_skb,skb,hudak2008comparative_17,53-58,"11,34",34,34,454,32?,32?,32?,52,31?,31?,31?,32?,454,454,454,32?,32?,32?,32?,52
TaiSong_soa,soa,jirananthanporn2007,43082,23,23,23,354,35,35,35,33,"22,42",22,22,42,35,35,35,33,35,35,35,"33,42"
LaoSongChawsuan_soa,soa,chawsuan1994,201-972 (lexicon),,,,,,,,,,,,,,,,,,,,
LaoSongPanka_soa,soa,panka1980,67-76,24,24,24,354,35,35,35,44,33,33,33,43,35,35,35,44,35,35,35,44
LaoSongYensamut_soa,soa,yensamut1981words,,24,24,24,354,335,335,335,55,33,33,33,454,335,335,335,55,335,335,335,55
Song1_soa,soa,saeng-ngam2006lexical,21-24,214,214,214,44,214,214,214,44,21,21,21,214,214,214,214,214,44,44,44,214
Song2_soa,soa,saeng-ngam2006lexical,21-24,324,324,324,55,55,55,55,55,32,32,32,32,11,11,11,32,11,11,11,324
Song3_soa,soa,saeng-ngam2006lexical,21-24,324,324,324,43,14,14,14,32,32,32,32,32,14,14,14,14,14,14,14,324
Song4_soa,soa,saeng-ngam2006lexical,21-24,324,324,324,43,15,15,15,32,21,21,21,21,15,15,15,15,15,15,15,324
Song5_soa,soa,saeng-ngam2006lexical,21-24,24,24,24,232,452,452,452,33,21,21,21,41,452,452,452,33,452,452,452,33
Song6_soa,soa,saeng-ngam2006lexical,21-24,14,14,14,343,35,35,35,33,22,22,22,42,35,35,35,33,35,35,35,33
Song7_soa,soa,saeng-ngam2006lexical,21-24,34,34,34,45,24,24,24,33,32,32,32,452,24,24,24,33,24,24,24,33
Song8_soa,soa,saeng-ngam2006lexical,21-24,34,34,34,354,24,24,24,44,32,32,32,252,24,24,24,44,24,24,24,44
Song9_soa,soa,saeng-ngam2006lexical,21-24,24,24,24,354,35,35,35,44,33,33,33,43,35,35,35,44,35,35,35,44
Song10_soa,soa,saeng-ngam2006lexical,21-24,23,23,23,453,25,25,25,342,33,33,33,32,25,25,25,342,25,25,25,342
Song11_soa,soa,saeng-ngam2006lexical,21-24,34,34,34,354,24,24,24,44,32,32,32,452,24,24,24,44,24,24,24,44
Song12_soa,soa,saeng-ngam2006lexical,21-24,35,35,35,43,24,24,24,33,21,21,21,452,24,24,24,33,24,24,24,33
SouthernThai_sou,sou,pintasaard2004development,70-71,352,241,241,31,352,241,241,213,44,33,33,11,35,24,24,11,44,33,33,213
TakBai_sou,sou,pintasaard2004development,71-72,24,24,24,33,44,44,44,31,42,42,42,342,24,24,24,33,44,44,44,31
TaiNakhonSiThammarat_sou,sou,hudak1997_1,5-Mar,55,343,343,343,55,343,343,14,44,44,44,11,55,14,14,11,44,14,14,14
