Language,ISO,Source_ID,Source_page,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,DL1,DL2,DL3,DL4,DS1,DS2,DS3,DS4,DL4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DL1.phon,DL2.phon,DL3.phon,Ab1,Ab1.phon,Bb1,Bb1.phon,Cb1,Cb1.phon,DLb1,DLb1.phon,DSb1,DSb1
RedTai1_tyr,tyr,hudak1994_3,323-326,1,1,1,4,2,2,2,3,3,3,3,5,2,2,2,3,2,2,2,2,14?,44,44,44,44,355,355,355,32,44,44,44,14?,14?,14?,14?,51?,44,44,44,,,,,,,,,,
RedTai2_tyr,tyr,hudak1994_4,437-440,1,4,4,4,2,2,2,3,3,3,3,5,2,2,2,3,5,5,5,4,45?,21?,21?,21?,43,44?,43,43,43,55,55,55,45?,45?,45?,45?,21?,55,55,55,,,,,,,,,,
RedTai3_tyr,tyr,hudak1994_5,509-511,1,1,1,4,2,2,2,3,3,3,3,5,2,2,2,1,2,2,2,2,14,33,33,33,33,14,14,14,343,33,33,33,34?,34?,34?,34?,55?,33,33,33,,,,,,,,,,
TayTac_tyt,tyt,pintasaard2004development,58-60,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,4,33,453,453,453,33,24,24,24,34,22,22,22,33,41,41,41,453,22,22,22,,,,,,,,,,
Yong_yno,yno,hudak1994_14,1057-1059,1,1,4,4,2,2,2,5,3,3,3,6,2,2,2,5,1,1,1,5,22,24,24,24,22,24,24,44,44,11,11,11,22,21,21,21,51?,11,11,11,,,,,,,,,,
YongLamphun_yno,yno,soiyana2009acoustic,49-67,1,1,2,2,3,3,3,4,5,5,5,6,3,3,3,4,1,1,1,4,22,35,35,35,22,35,35,33,33,11,11,11,22,31,31,31,53,11,11,11,,,,,,,,,,
YongMongYawng_yno,yno,soiyana2009acoustic,49-67,1,1,2,2,3,3,3,4,5,5,5,6,3,3,3,4,1,1,1,4,22,35,35,35,22,35,35,331,331,13,13,13,22,31,31,31,53,13,13,13,,,,,,,,,,
YooyBoonsner_yoy,yoy,boonsner1984phonological,"45,66,??",1,1,1,2,3,3,3,4,3,3,4,4,3,3,3,4,4,4,4,3,34,34,34,34,21,23,23,23,45,12?,12?,12?,32,12?,12?,32,32,21,21,21,,,,,,,,,,
YooyLaksanawong_yoy,yoy,laksanawong2008comparative,54-57,1,1,1,2,3,3,3,4,5,5,5,6,2,2,2,4,5,5,5,3,452,353,353,353,21,24,24,24,35,21,21,21,452,353,353,353,31,35,35,35,,,,,,,,,,
ZhuangPoAi_zgn,zgn,hudak2008comparative_19,61-64,1,1,6,2,5,5,5,6,3,3,3,4,5,5,5,6,2,2,3,3,31,55,55,44,44,24,24,31,55,22,22,22,31,44,44,44,33,22,22,22,,,,,,,,,,
DaiZhuang_zhd,zhd,zhou2001_8,,1,1,1,2,5,5,5,3,3,3,3,4,9,9,9,"8,10",7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZhuangWuming_zyb,zyb,hudak2008comparative_18,58-61,1,1,1,2,5,5,5,6,3,3,3,4,5,5,5,6,5,5,5,6,13,24,24,24,13,33,33,33,31,24,24,24,13,55,55,55,51,24,24,24,,,,,,,,,,
TaiHaGiang_zyg,zyg,hudak1997_21,987-990,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,5,2,2,2,5,44,45,45,45,44,33,33,33,55?,45,45,45,44,13,13,13,41?,45,45,45,,,,,,,,,,
TaiCaoBang_zyg,zyg,hudak1997_22,1037-1039,1,1,1,4,2,2,2,2,3,3,3,5,2,2,2,2,2,2,2,4,45,45,45,45,32,54,54,54,32,45,45,45,45,14?,14?,14?,31?,45,45,45,,,,,,,,,,
TaiPakSak_zyj,zyj,hudak1997_29,1239-1241,1,1,1,4,2,2,2,5,3,3,6,6,2,2,2,5,3,3,3,5,33,55?,55?,55?,33,14,14,14,31,45,45,45,33,55?,55?,43?,43?,43?,45,45,,,,,,,,,,
TaiLeiPing_zzj,zzj,hudak2008comparative_9,27-30,1,2,2,4,2,5,5,5,3,3,3,3,2,5,5,5,2,2,2,"4,5",11,44,44,44,"21,11",454,44,44,21,44,11,11,11,13?,13?,13?,13?,44,11,11,,,,,,,,,,
TaiLungming_zzj,zzj,hudak2008comparative_10,30-34,1,1,4,4,2,2,2,5,3,3,3,6,2,2,2,5,3,3,3,4,11,33?,33?,33?,21,55,55,21,21,45,45,45,11,33?,33?,33?,212?,45,45,45,,,,,,,,,,
TaiLungchow_zzj,zzj,hudak2008comparative_13,39-42,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,4,2,2,2,4,31,55,55,55,31,33,33,33,31,55,55,55,11,24,24,24,21?,55,55,55,,,,,,,,,,
TaiPingSiang_zzj,zzj,hudak2008comparative_14,42-45,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,5,2,2,2,"4,5",11,55,55,55,"21,11",33,33,33,21,55,55,55,11,24,24,24,31?,55,55,55,,,,,,,,,,
TaiNingMing_zzj,zzj,hudak2008comparative_15,45-48,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,5,4,4,4,4,11,21,21,21,21,33,33,33,21,55,55,55,11,25?,25?,25?,21?,55,55,55,,,,,,,,,,
LungChowTai_zzj,zzj,massupong1982,244-291 (lexicon),1,1,1,3,4,4,4,2,5,5,5,3,4,4,4,6,4,4,4,6,21,55,55,55,21,33,33,33,31,55,55,55,11,24,24,24,31,55,55,55,,,,,,,,,,
TaiThatKhe_zzj,zzj,hudak1997_23,1047-1049,1,1,1,3,1,1,1,4,2,2,2,5,1,1,1,3,1,1,1,3,53?,33,33,33,53?,33,33,33,53?,33,33,33,11,14?,14?,14?,55?,33,33,33,,,,,,,,,,
TaiLangSoen_zzj,zzj,hudak1997_24,1097-1099,1,4,4,5,2,2,2,6,3,3,3,6,2,2,2,5,2,2,2,4,31?,45,45,45,33,54,33,33,31?,45,45,45,12?,11,11,11,12?,45,45,45,,,,,,,,,,
TaiPoMuc_zzj,zzj,hudak1997_25,1117-1119,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,4,2,2,2,4,32,45?,45?,45?,32,33,33,33,32,45?,45?,45?,21,13?,13?,13?,32?,45?,45?,45?,,,,,,,,,,
TaiLongKhwang_zzj,zzj,hudak1997_27,1187-1189,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,6,2,2,2,5,51?,44,44,44,21?,33,33,33,34,44,44,44,21?,14,14,14,51?,44,44,44,,,,,,,,,,
TaiLongCuu_zzj,zzj,hudak1997_28,1205-1207,1,4,4,5,2,2,2,6,3,3,3,3,6,6,6,5,2,2,2,5,21?,55,55,55,21?,545?,32?,32?,21?,55,55,55,11,14,14,14,14,11,11,11,,,,,,,,,,
