Language,ISO,Source_ID,Source_page,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,DL1,DL2,DL3,DL4,DS1,DS2,DS3,DS4,DL4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DL1.phon,DL2.phon,DL3.phon,Ab1,Ab1.phon,Bb1,Bb1.phon,Cb1,Cb1.phon,DLb1,DLb1.phon,DSb1,DSb1
Nyo-Site4_nyw,nyw,koowatthanasiri1981,"101-105, 226-227",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site5_nyw,nyw,koowatthanasiri1981,"106-110, 227-228",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site6_nyw,nyw,koowatthanasiri1981,"111-115, 229-230",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site7_nyw,nyw,koowatthanasiri1981,"116-120, 230-231",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site8_nyw,nyw,koowatthanasiri1981,"121-125, 231-232",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site9_nyw,nyw,koowatthanasiri1981,"126-130, 232-233",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site10_nyw,nyw,koowatthanasiri1981,"131-134, 234-235",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site11_nyw,nyw,koowatthanasiri1981,"135-138, 235-236",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site12_nyw,nyw,koowatthanasiri1981,"139-143, 236-237",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site13_nyw,nyw,koowatthanasiri1981,"144-148, 237-238",1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site14_nyw,nyw,koowatthanasiri1981,"149-153, 239-240",1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site15_nyw,nyw,koowatthanasiri1981,"154-158, 240-241",1,1,1,1,2,2,2,3,4,4,4,5,2,2,2,3,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site16_nyw,nyw,koowatthanasiri1981,"159-163, 242-243",1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
