sequence|thai|phonetic|description|desc-short|set|level|
8|อย่าพูดถึงมัน(เลย) yàa pûut-tʉ̌ng man|ləəi|Don't talk about it. / Let's not talk about it.  |Don't talk about it. / Let's n|||
9|จับตาดูเขาไว้ jàp-dtaa-duu kǎo wái Keep an eye on him. / Watch him carefully.  ||||||
10|ใครจะไปเชื่อ(ว่า...) krai jà bpai chʉ̂a|wâa...|Who would believe that?! / Who would believe...?!  |Who would believe that?! / Who|||
11|เอาเถอะ... ao tə... All right... / Okay...|acquiescing|||||
12|ค้นให้ทั่ว(...) kón hâi tûa(...) Search everywhere! / Look everywhere! / Find him!|look high and low until you  find him|/ Search the... !  |/ Search the... !  |||
13|เอาอีกแล้ว IDIOMATIC ao ìik lɛ́ɛo Not again! / He's at it again! / Here you go again!  ||||||
14|บอกแล้วใช่ไหมว่า(อย่ากลับบ้านดึก) bɔ̀ɔk lɛ́ɛo châi-mǎi wâa|yàa glàp bâan dʉ̀k|Didn't I tell you (not to come home late)?! / I told you (not to come home late),  didn't I? |Didn't I tell you (not to come|||
15|เรากำลังคุยเรื่องอะไร rao gam-lang kui rʉ̂ang à-rai What are/were we talking about?  ||||||
16|(100 บาท)เท่านั้นเอง|rɔ́ɔi bàat|tâo-nán-eeng (It's) only (100 baht). / (It's 100 baht), that's all. |tâo-nán-eeng (It's) only (100 |||
17|มีทั้งข้อดีข้อเสีย mii táng kɔ̂ɔ-dii kɔ̂ɔ-sǐa We all have our strengths and weaknesses. / There are both pros and cons. / It  has its advantages and disadvantages.  ||||||
18|จะให้(ผม)เชื่อได้อย่างไร jà hâi|pǒm|chʉ̂a dâi yàang-rai How can I believe you?! / How do you expect me to believe you?!  |chʉ̂a dâi yàang-rai How can I |||
19|(กำลัง)หิวพอดีเลย|gam-lang|hǐu pɔɔ-dii ləəi I'm (just now) getting hungry.  |hǐu pɔɔ-dii ləəi I'm (just now|||
20|ผมจะพยายามให้ดีที่สุด pǒm jà pá-yaa-yaam hâi dii-tîi-sùt I'll try|and do|my best. / I'll give it my best shot. |my best. / I'll give it my bes|||
1|ไปแล้วนะ bpai lɛ́ɛo ná I'm off. / I'm going now. |Super Useful Expressions, Part 168  |low-intermediate level|low-intermediate level|||
2|(...)ใช่ป่ะ INFORMAL|...|châi-bpà Right? / Isn't that right? / ...aren't you? / ...isn't it? / ...isn't she? Note: ป่ะ (bpà) is a very casual, shortened form of หรือปล่าว (rʉ̌ʉ-bplàao). This is also spelled as ปะ (bpa).  |châi-bpà Right? / Isn't that r|||
3|ฉันตกบันได chǎn dtòk ban-dai I fell down the stairs.  ||||||
4|(รอ)อยู่ตั้งนาน(แล้ว)|rɔɔ|yùu dtâng naan (lɛ́ɛo) (I)'ve been (waiting) for a long time.  |yùu dtâng naan (lɛ́ɛo) (I)'ve |||
5|ผมเพิ่งย้ายมาจาก(อเมริกา) pǒm pə̂ng yáai maa-jàak|à-mee-rí-gaa|I just moved here from (America).  |I just moved here from (Americ|||
6|จำหน้าไม่ได้ jam nâa mâi-dâi I don't recognize him. / I didn't recognize you.  ||||||
7|คุณบ้าไปแล้วหรือ kun bâa bpai lɛ́ɛo rʉ̌ʉ Have you lost your mind?! / Are you crazy!? / Have you gone mad?!  ||||||
8|เดี๋ยวคุณ(ก็)จะรู้เอง dǐao kun|gɔ̂ɔ|jà rúu eeng You'll soon know. / Soon you'll know. / You'll find out soon.  |jà rúu eeng You'll soon know. |||
9|ผมไม่หนี pǒm mâi nǐi I'm not running away! / I'm not gonna escape.  ||||||
10|ทำได้แค่นี้ tam dâi kɛ̂ɛ-níi That's all|I|can do. / That's all (I) could do.  |can do. / That's all (I) could|||
11|หาไม่เจอ hǎa mâi jəə I can't find it. / They couldn't find her. ||||||
12|ฉันจะบอกความจริงให้ chǎn jà bɔ̀ɔk kwaam-jing hâiI'll tell you the truth. / I'll tell you what really happened.  ||||||
13|ฉันยังจำได้ดี(...) chǎn yang jam dâi dii|...|I still remember it well. / I can still clearly remember...  |I still remember it well. / I |||
14|ผมให้สัญญาว่า... pǒm hâi sǎn-yaa wâa... I promise to... / I promised that I... ||||||
15|ทนไม่ได้ที่... ton mâi-dâi tîi... I can't stand... / I can't handle... / I can't bear...  ||||||
16|ดูดีๆ(สิ) INFORMAL duu dii-dii|sì|Look carefully.  |Look carefully.  |||
17|ใกล้จะมืดแล้ว glâi jà mʉ̂ʉt lɛ́ɛo It's nearly dark. / It's almost dark.  ||||||
18|ไม่ทำอะไรหรอก mâi tam à-rai rɔ̀ɔk I'm not gonna do anything. OR I'm not gonna hurt you.  ||||||
19|อย่าเพิ่งกังวล yàa pə̂ng gang-won Don't worry. / Don't you worry. ||||||
20|ฉันไม่สนหรอก INFORMAL/STRONG chǎn mâi-sǒn rɔ̀ɔk I don't care! ||||||
1|มีงานให้คุณท mii ngaan hâi kun tam I have a job for you. / I have some work for you to do. |Super Useful Expressions, Part 169 |high-intermediate level|high-intermediate level|||
2|เฮ้ย hə̂i/hə́i Hey! ||||||
3|ห้ามให้ใครเข้ามา hâam hâi krai kâo-maa Don't let anyone|come|in!  |in!  |||
4|(เธอ)อยู่กินกับ(แฟนมา 10 ปี) IDIOMATIC|təə|yùu-gin-gàp (fɛɛn maa sìp  bpii) (She)'s been living with (her boyfriend for 10 years).  |yùu-gin-gàp (fɛɛn maa sìp  bpi|||
5|เขาไม่ไว้ใจใครง่ายๆ kǎo mâi wái-jai krai ngâai-ngâai She doesn't trust others/anyone easily. ||||||
6|พี่ไม่ได้ตั้งใจจะพูดแบบนั้น pîi mâi-dâi dtâng-jai jà pûut bɛ̀ɛp-nán I didn't mean to say that.  ||||||
7|(จะฆ่ามัน)ด้วยมือของผม(เอง)|jà kâa man|dûai mʉʉ kɔ̌ɔng pǒm (eeng) (I'll kill him) with my own hands!  |dûai mʉʉ kɔ̌ɔng pǒm (eeng) (I'|||
8|พรุ่งนี้ค่อยว่ากันใหม่ prûng-níi kɔ̂i wâa gan mài Let's call it a day|and finish talking about it tomorrow|.  |.  |||
9|เขาไม่ได้บอกคุณหรือ kǎo mâi-dâi bɔ̀ɔk kun rʉ̌ʉ He didn't tell you?  ||||||
10|เลิกทะเลาะกันได้แล้ว lə̂ək tá-lɔ́-gan dâi lɛ́ɛo Stop fighting/arguing!  ||||||
11|(...)เหมือนที่เคยบอก(...)|...|mʉ̌an tîi kəəi bɔ̀ɔk (...) (...) like I told you before (...) / (...) as I told you (...) / (...) as I said (...)  |mʉ̌an tîi kəəi bɔ̀ɔk (...) (..|||
12|ผมจะไม่ยอมให้ใคร... pǒm jà mâi yɔɔm-hâi krai... I won't let anyone... / I'm not gonna let anyone...  ||||||
13|หลายปีมานี้... lǎai bpii maa níi... For many years... / All these years...  ||||||
14|ถ้าผมรู้ว่า... tâa pǒm rúu wâa... If I had known... / If I knew...||||||
15|(ชอบ)ฉี่รดที่นอน|chɔ̂ɔp|chìi-rót tîi-nɔɔn (He) wets the bed.  |chìi-rót tîi-nɔɔn (He) wets th|||
16|ยังไม่เข็ดอีกหรือ yang mâi kèt ìik rʉ̌ʉ Haven't you learned your lesson?!  ||||||
17|ออกมาได้แล้ว ɔ̀ɔk-maa dâi lɛ́ɛo|You|can come out now. OR (They) got out of...  |can come out now. OR (They) go|||
18|เตรียมตัวตาย dtriam-dtua dtaai Prepare to die!|angry|OR Get ready for death. (neutral) |OR Get ready for death. (neutr|||
19|ไม่ต้องแย่งกัน mâi-dtɔ̂ng yɛ̂ng-gan|You|don't need to fight (over it)! / No need to compete.  |don't need to fight (over it)!|||
20|ทำบ้าอะไรของมึง ROUGH/ANGRY tam bâa à-rai kɔ̌ɔng mʉng What the hell are you doing? / What the hell did you do? ||||||
1|คิดไม่ตก IDIOMATIC kít mâi dtòk|I|can't figure it out. / (I) can't figure out what to do. |can't figure it out. / (I) can|Super Useful Expressions, Part 170  |high-intermediate level|
2|(มัน)ไม่ใช่เรื่องใหม่|man|mâi-châi rʉ̂ang mài It's nothing new. / That's not new.  |mâi-châi rʉ̂ang mài It's nothi|||
3|ไม่เหมือนที่เคยกินมา mâi mʉ̌an tîi kəəi gin maa|It|'s not like anything I've eaten before. / (It)'s different from anything I've had before.  |'s not like anything I've eate|||
4|(คุณ)รู้ไหมว่ามันยากแค่ไหน|kun|rúu mǎi wâa man yâak kɛ̂ɛ-nǎi Do you know how hard it was/is?  |rúu mǎi wâa man yâak kɛ̂ɛ-nǎi |||
5|ฉันจะทำอะไรกับมันก็ได้ STRONG chǎn jà tam à-rai gàp man gɔ̂ɔ-dâiI can do whatever I want with it/her/him!  ||||||
6|เป็นห่วงเสมอ bpen hùang sà-mə̌ə I always worry about you. / She's always worried about you.  ||||||
7|(Celebrity) มีที่มาจากคำว่า|celebrate|(Celebrity) mii tîi-maa jàak kam wâa (celebrate). (Celebrity) originated from the word (celebrate).  |(Celebrity) mii tîi-maa jàak k|||
8|นับวันรอ náp wan rɔɔ|I'm|counting the days.  |counting the days.  |||
9|เขาไม่เกี่ยวกับเรื่องนี้ kǎo mâi-gìao gàp rʉ̂ang-níi He's got nothing to do with this! / He's not involved!  ||||||
10|สิ่งที่(ฉัน)กลัวที่สุดคือ... sìng tîi|chǎn|glua tîi-sùt kʉʉ... The thing I'm most afraid of is... / My worst fear is...  |glua tîi-sùt kʉʉ... The thing |||
11|คุณลืมไปแล้วหรือว่า... kun lʉʉm bpai lɛ́ɛo rʉ̌ʉ wâa... Have you forgotten... ? / Did you forget... ?  ||||||
12|ถ้าย้อนเวลากลับไปได้ tâa yɔ́ɔn wee-laa glàp bpai dâi If I could turn back time... / If I could go back in time... / If I could turn back the  clock...  ||||||
13|ฉันจะไม่ยอมให้ใคร... chǎn jà mâi yɔɔm-hâi krai... I won't let anyone... / I won't allow anybody to...  ||||||
14|ผมไม่ใช่คนอย่างนั้น pǒm mâi-châi kon yàang-nán I'm not that kind of person. / I'm not like that.  ||||||
15|เขาเริ่มต้นชีวิตใหม่ kǎo rə̂əm-dtôn chii-wít mài He started a new life. / She started her life over again.  ||||||
16|(เด็ก)ถูกลักพาตัว|dèk|tùuk lák-paa-dtua (A child) was kidnapped/abducted. |tùuk lák-paa-dtua (A child) wa|||
17|ทำตัวไม่ถูก IDIOM tam-dtua mâi-tùuk|I|don't know what to do. / (I) don't know how to act.  |don't know what to do. / (I) d|||
18|มีอยู่ทางเดียว mii yùu taang-diao There's only one way.  ||||||
19|ฉันไม่ได้บอกอะไรเลย chǎn mâi-dâi bɔ̀ɔk à-rai ləəi I didn't tell|him|anything.  |anything.  |||
20|พอใช้ได้ pɔɔ chái-dâi That will work. / It's usable. / It's pretty nice. / It's fairly good. ||||||
1|ทำไมต้องเป็นอย่างนี้ tam-mai dtɔ̂ng bpen yàang-níi Why does it have to be like this?! / Why does this have to happen?! |Super Useful Expressions, Part 171  |high-intermediate level|high-intermediate level|||
2|คงไม่มีอะไรหรอก kong mâi-mii-à-rai rɔ̀ɔk It's probably nothing.|nothing will happen|||||
3|เราอาจจะคิดมากไปเอง rao àat-jà kít mâak bpai eeng I might be|just|overthinking it. / I might be thinking too much.  |overthinking it. / I might be |||
4|ไม่น่าพูดเลย mâi-nâa pûut ləəi|I|shouldn't have said that. / (I) shouldn't have said anything.  |shouldn't have said that. / (I|||
5|ถ้าได้ข่าวอะไร(จะโทรบอกแล้วกัน) tâa dâi-kàao à-rai|jà too bɔ̀ɔk lɛ́ɛo-gan|If I hear anything, (I'll call and let you know.) / If I receive any news, (I'll call and  let you know.)  |If I hear anything, (I'll call|||
6|เราต้องรีบออกไปจากที่นี่ rao dtɔ̂ng rîip ɔ̀ɔk bpai jàak tîi-nîi We have to get out of here! / We have to hurry and leave this place! ||||||
7|ทำไม(ถึง)ต้องทำอย่างนี้ tam-mai|tʉ̌ng|dtɔ̂ng tam yàang-níi What do you have to do this?! / Why are you doing this?!  |dtɔ̂ng tam yàang-níi What do y|||
8|(ผู้หญิง)มีตั้งมากมาย EMPHASIS or SURPRISE|pûu-yǐng|mii dtâng  mâak-maai There are a lot of (women)!  |mii dtâng  mâak-maai There are|||
9|ช่วยไว้ไม่ทัน chûai wái mâi-tan He couldn't rescue her in time. / They didn't save him in time.  ||||||
10|...ถ้าคิดอย่างนั้น... ...tâa kít yàang-nán... ||||||
..if that's what you think... / ...if that's how you think...  |||||||
11|ตามปกติแล้ว... dtaam-bpòk-gà-dtì lɛ́ɛo...  Normally... / Usually... / Generally... / Typically...  Note: ปกติ|bpàk-gà-dtì|is an alternative pronunciation for this word.  |is an alternative pronunciatio|||
12|(...)ก็เรื่องของคุณ|...|gɔ̂ɔ rʉ̂ang kɔ̌ɔng kun (...)That's your problem! / That's your business!  |gɔ̂ɔ rʉ̂ang kɔ̌ɔng kun (...)Th|||
13|ฉันต้องรู้ให้ได้ว่า... STRONG/URGENT chǎn dtɔ̂ng rúu hâi-dâi wâa... I have to know... / I need to know...  ||||||
14|...ส่วนอีกคนหนึ่งเป็น(หมอ) ...sùan ìik kon nʉ̀ng bpen|mɔ̌ɔ|...the other is (a doctor). / ...as for the other, she's (a doctor). |...the other is (a doctor). / |||
15|(กลัว)ว่าจะมีเรื่องร้ายเกิดขึ้น|glua|wâa jà mii rʉ̂ang-ráai gə̀ət-kʉ̂n (I'm afraid) something terrible will happen. |wâa jà mii rʉ̂ang-ráai gə̀ət-k|||
16|อีกไม่ไกลแล้ว ìik mâi glai lɛ́ɛo It's not much further. / It's not far from here.  ||||||
17|เจ็บตรงไหนไหม jèp dtrong-nǎi mǎi Did you hurt yourself? / Are you hurt? ||||||
18|ไม่ใช่ไม่เชื่อนะ mâi-châi mâi-chʉ̂a ná It's not that I don't believe you.  ||||||
19|ผมไม่อยากเสี่ยง pǒm mâi yàak sìang I don't want to take the risk. / I don't wanna risk it.  ||||||
20|ไม่ได้ง่ายอย่างที่คิด mâi-dâi ngâai yàang tîi kít It wasn't as easy as we thought it would be. / It's not as easy as you think. ||||||
1|เมื่อไหร่จะได้เจอกันอีกนะ mʉ̂a-rài jà dâi jəə-gan ìik ná When will we|be able to|see each other again? |see each other again? |Super Useful Expressions, Part 172  |high-intermediate level|
2|ชอบเป็นจุดสนใจ chɔ̂ɔp bpen jùt-sǒn-jai|He|likes to be the center of attention. / (She) likes to be in the limelight.  |likes to be the center of atte|||
3|ไม่ต้องมายุ่ง STRONG mâi dtɔ̂ng maa yûng Stay out of this! / Don't mess with me! / Leave me alone! / Don't interfere!  ||||||
4|(วิ่งเร็ว)ที่สุดเท่าที่จะทำได้|wîng reo|tîi-sùt tâo-tîi jà tam dâi (Run as fast) as I can/could.  |tîi-sùt tâo-tîi jà tam dâi (Ru|||
5|ท้องได้(เจ็ด)เดือน tɔ́ɔng dâi|jèt|dʉan (Seven) months pregnant.  |dʉan (Seven) months pregnant. |||
6|รีบเข้าไปช่วย rîip kâo-bpai chûai He rushed|in|to help her. / She hurried over to help him.  |to help her. / She hurried ove|||
7|มันกลายเป็นเรื่องปกติ man glaai-bpen rʉ̂ang bpòk-gà-dtì It's become normal/common/a normal thing. Note: ปกติ|bpàk-gà-dtì|is an alternative pronunciation for this word.  |is an alternative pronunciatio|||
8|ลูกดิ้น lûuk dîn The baby kicked/moved.|of pregnant woman|||||
9|ฉันมีข่าวมาบอก chǎn mii kàao maa bɔ̀ɔk I have some news for you. / I got news for you.  ||||||
10|(...)เมื่อวันก่อน(...)|...|mʉ̂a-wan gɔ̀ɔn(...) (...) the other day (...)  |mʉ̂a-wan gɔ̀ɔn(...) (...) the |||
11|หลายต่อหลายคน SEMI-LITERARY lǎai-dtɔ̀ɔ-lǎai kon Many people. / So many people. / A lot of people.  ||||||
12|หลายต่อหลายครั้ง SEMI-LITERARY lǎai-dtɔ̀ɔ-lǎai kráng Many times. / Numerous times. / Time and time again. ||||||
13|(มัน)คงจะดีไม่น้อยถ้า...|man|kong jà dii mâi-nɔ́ɔi tâa... It would be really great/nice if...  |kong jà dii mâi-nɔ́ɔi tâa... I|||
14|(...)นานเท่าไหร่แล้ว|...|naan tâo-rài lɛ́ɛo How long has it been? / How long have you...? |naan tâo-rài lɛ́ɛo How long ha|||
15|ลำบากแค่ไหนก็... lam-bàak kɛ̂ɛ-nǎi gɔ̂ɔ... No matter how hard it is... / No matter how much trouble I have to face...  ||||||
16|ตรวจสอบให้แน่ใจว่า... SEMI-FORMAL dtrùat-sɔ̀ɔp hâi nɛ̂ɛ-jai wâa... Check to make sure|that|... / Make sure (that)...  |... / Make sure (that)...  |||
17|เขาเพิ่งออกจากคุกมา(ได้ไม่นาน) kǎo pə̂ng ɔ̀ɔk-jàak kúk maa|dâi mâi naan|He just got out of jail (not long ago).  |He just got out of jail (not l|||
18|ได้เจอกันเสียที / ได้เจอกันซะที dâi jəə gan sǐa-tii / dâi jəə gan sá-tii We finally meet! Note: ซะที|sá-tii|is a shortened form of เสียที (sǐa-tii), which is a final particle  used to show that you want something to happen soon or completely.  |is a shortened form of เสียที |||
19|หาทั่วทั้ง(บ้านแต่ไม่เจอ) hǎa tûa-táng|bâan dtɛ̀ɛ mâi jəə|(I) looked all over (the house but I couldn't find her). / (I) searched everywhere (in  the house but I couldn't find it).  |(I) looked all over (the house|||
20|ซวยแล้ว suai lɛ́ɛo We are screwed! / We're in deep shit! / Damn! / Shit! ||||||
1|กินอะไรได้อย่างนั้น gin à-rai dâi yàang-nán You are what you eat. |Super Useful Expressions, Part 173  |low-advanced level|low-advanced level|||
2|อย่าปล่อยให้หลุดมือไป yàa bplɔ̀i-hâi lùt mʉʉ bpai Don't let it slip out of your hand. / Don't let it slip away.  ||||||
3|ไม่มีใครยอมใคร mâi-mii-krai yɔɔm krai No one is going to give in. / No one's gonna give in to the other. / No one's going  to give an inch.  ||||||
4|ถ้าไม่เห็นกับตา(ฉัน)(ก็ไม่เชื่อ) tâa mâi hěn-gàp-dtaa|chǎn|(gɔ̂ɔ mâi chʉ̂a) If I hadn't seen it with my own eyes, (I wouldn't have believed it.)  |(gɔ̂ɔ mâi chʉ̂a) If I hadn't s|||
5|เขากำลังเดินตามรอยเท้า(ของพ่อ) kǎo gam-lang dəən dtaam rɔɔi-táao|kɔ̌ɔng pɔ̂ɔ|He's following (his father's) footsteps. / He's walking in (his father's) footsteps.  |He's following (his father's) |||
6|บรรทัดฐานใหม่ ban-tát-tǎan mài The new normal. / A new standard.  ||||||
7|เขาไม่เป็น(สอง)รองใคร kǎo mâi bpen|sɔ̌ɔng|rɔɔng krai He's second to none!|rɔɔng krai He's second to none|||
8|(ห้ามส่งเสียง)ไม่งั้นตาย STRONG|hâam sòng-sǐang|mâi-ngán dtaai (Don't make a sound) or you're dead! / (Don't make a sound) or you'll die!  |mâi-ngán dtaai (Don't make a s|||
9|ท่าไม่ดี IDIOMATIC tâa mâi-dii It doesn't look so good. / That's not good.|looks like the situation is getting  dangerous or out of hand|||||
10|(นี่)มันเท่ากับว่า...|nîi|man tâo-gàp-wâa... That's like... / That's the same as...  |man tâo-gàp-wâa... That's like|||
11|...ต้องมีข้อแลกเปลี่ยน ...dtɔ̂ng mii kɔ̂ɔ-lɛ̂ɛk-bplìan ||||||
..you have to get something in exchange. / ...I have to get something in return. |||||||
12|รู้(สึก)ตัวอีกที... rúu-(sʉ̀k)-dtua ìik-tii... Before I knew it... / All of the sudden... / Next thing I knew... ||||||
13|...สามารถใช้เป็นหลักฐาน(...) ...sǎa-mâat chái bpen làk-tǎan(...) ...can be used as evidence|...|||||
14|...อาจนำไปสู่(มะเร็งตับ) FORMAL ...àat nam-bpai-sùu|má-reng-dtàp|...might result in (liver cancer). / ...may lead to (liver cancer.) |...might result in (liver canc|||
15|(งานวิจัย)ชี้ชัด(อยู่)แล้วว่า...|ngaan-wí-jai|chíi chát (yùu) lɛ́ɛo-wâa... (Research) clearly shows... / (Research) confirms... |chíi chát (yùu) lɛ́ɛo-wâa... (|||
16|ตาเถร IDIOM/SLANG dtaa-těen Holy Cow! / Shit! / Bejesus! / Holy Mackerel! / Oh my God!  ||||||
17|มันออกจะแปลกๆ man ɔ̀ɔk jà bplɛ̀ɛk-bplɛ̀ɛk It's rather strange. / That's weird. / It seems rather weird.  ||||||
18|เป็นพระคุณ LITERARY bpen-prá-kun I'm much obliged. / I'm very grateful. / I really appreciate it.  ||||||
19|นี่ไม่ใช่เวลามาเล่นนะ nîi mâi-châi wee-laa maa lên ná This is no time to play around! ||||||
20|ต้องคุยกับเขาให้รู้เรื่อง dtɔ̌ng kui gàp kǎo hâi rúu-rʉ̂ang|I|have to talk some sense into him! / (I) have to talk to him (and make him  understand).  |have to talk some sense into h|||
1|ฉันช่วยถือ chǎn chûai tʉ̌ʉ I'll carry that for you. / I'll hold that for you. / I'll help you carry that. |Super Useful Expressions, Part 174  |low-intermediate level|low-intermediate level|||
2|เป็นผัวเมียกัน bpen pǔa mia gan They're married. / They're husband and wife. / They're a couple. ||||||
3|เขาอาจตายได้ kǎo àat dtaai dâi He might die. / She could die.  ||||||
4|เธอไม่ได้มาด้วย təə mâi-dâi maa dûai She didn't come. / She didn't come with me.  ||||||
5|รออีกสักหน่อยนะ(ครับ) rɔɔ ìik sàk-nɔ̀i ná|kráp|Wait a bit more. / Wait a while longer.  |Wait a bit more. / Wait a whil|||
6|รออีกสักพักนะ(ครับ) rɔɔ ìik sàk-pák ná|kráp|Wait a bit more. / Wait a while longer.  |Wait a bit more. / Wait a whil|||
7|รออีกสักสองสาม(วัน) rɔɔ ìik sàk sɔ̌ɔng-sǎam|wan|Wait a few more (days).  |Wait a few more (days).  |||
8|กลิ่น(มัน)แรงไปหน่อย glìn|man|rɛɛng bpai nɔ̀i The smell is (a bit) too strong. / It's (a bit) overpowering.  |rɛɛng bpai nɔ̀i The smell is (|||
9|ผม(จะ)หยิบให้ pǒm|jà|yìp hâi I'll get it for you. / I'll grab it for you. / I'll get it. |yìp hâi I'll get it for you. /|||
10|ขอทางหน่อย kɔ̌ɔ-taang nɔ̀i Excuse me... / Coming through. / Please move out of the way.  ||||||
11|อย่าเพิ่งเลย yàa pə̂ng ləəi Not yet! / Not just yet!|Don't do it yet.|||||
12|รอดมาได้ rɔ̂ɔt maa dâi I survived. / She's still alive. ||||||
13|เคยเจอมาแล้ว kəəi jəə maa lɛ́ɛo I've met him before. OR I've had that happen before. / I've been through that.  ||||||
14|เราต้องรอให้... rao dtɔ̂ng rɔɔ hâi... We have to wait for... / We have to wait until... ||||||
15|เป็นไปได้ bpen-bpai dâi It's possible. / That's possible.  ||||||
16|อยู่นิ่งๆ yùu nîng-nîng Stay still! / Hold still!  ||||||
17|ไม่มีพยาน mâi-mii pá-yaan There were no witnesses. / He hasn't got any witnesses.  ||||||
18|เราต้องไปช่วยเขา rao dtɔ̂ng bpai chûai kǎo We have to|go|help him. / We have to help her out.  |help him. / We have to help he|||
19|ขอยืมเงินหน่อย kɔ̌ɔ yʉʉm ngən nɔ̀i Can I borrow some money?  ||||||
20|หายโกรธหรือยัง hǎai gròot rʉ̌ʉ-yang Are you still angry?  ||||||
1|มันทำให้เสียสมาธิ man tam-hâi sǐa-sà-maa-tí It's distracting. / It makes me lose my focus. |Super Useful Expressions, Part 175  |high-intermediate level|high-intermediate level|||
2|ต้องตัดใจจากเขา dtɔ̂ng dtàt-jai jàak kǎo You have to let him go! / You have to get over her! / You have to forget him!  ||||||
3|ผมมีข่าวมาแจ้งให้ทราบ FORMAL pǒm mii kàao maa jɛ̂ɛng hâi sâap I have some news to tell you. / I have some news for you.  ||||||
4|ขอโทษ(นะ)ที่ทำให้(คุณ)เป็นห่วง kɔ̌ɔ-tôot|ná|tîi tam-hâi (kun) bpen-hùang I'm sorry for making you worry. / I'm sorry for causing you to worry.  |tîi tam-hâi (kun) bpen-hùang I|||
5|คุณจะว่าอย่างไร kun jà wâa yàang-rai What would you say?  ||||||
6|ถอนคำพูด(นะ) tɔ̌ɔn kam-pûut|ná|Take it back! (what you said) |Take it back! (what you said) |||
7|(ไม่เคยร้องไห้)ต่อหน้าคนอื่น|mâi-kəəi rɔ́ɔng-hâi|dtɔ̀ɔ-nâa kon-ʉ̀ʉn (I've never cried) in front of others.  |dtɔ̀ɔ-nâa kon-ʉ̀ʉn (I've never|||
8|ผล(ตรวจ)ออกมาแล้ว pǒn(dtrùat) ɔ̀ɔk-maa lɛ́ɛo The results are out. / The test came back.  ||||||
9|คุณนั้นแหละ(ที่บ้า) kun nán-lɛ̀|tîi bâa|YOU'RE the one (who's crazy)! / (It's YOU) who's crazy!  |YOU'RE the one (who's crazy)! |||
10|เมื่อไม่กี่วันที่ผ่านมา... SEMI-FORMAL mʉ̂a mâi-gìi wan tîi pàan maa... A few days ago...  ||||||
11|เมื่อไม่กี่วันก่อน... SEMI-FORMAL mʉ̂a mâi-gìi wan gɔ̀ɔn... A few days ago...  ||||||
12|ถ้ามีใครรู้... mâi-mii-krai rúu... If anyone finds out... / If anyone knew... ||||||
13|ขอเพียงแค่... kɔ̌ɔ piang-kɛ̂ɛ... All|I|ask is... / (I) only ask that...  |ask is... / (I) only ask that.|||
14|ไม่มีทางเบื่อแน่นอน mâi-mii-taang bʉ̀a nɛ̂ɛ-nɔɔn|I|'d never get bored! / There's no way I'd ever get bored! |'d never get bored! / There's |||
15|ขอโทษนะที่ไม่ได้ติดต่อคุณ kɔ̌ɔ-tôot ná tîi mâi-dâi dtìt-dtɔ̀ɔ kun|I|'m sorry for not having contacted you. / (I)'m sorry that I didn't contact you.  |'m sorry for not having contac|||
16|ใกล้จะคลอดแล้ว glâi jà klɔ̂ɔt lɛ́ɛo|She|'s about to give birth. / (She)'s going into labor.  |'s about to give birth. / (She|||
17|เขาถูกประหารชีวิต kǎo tùuk bprà-hǎan-chii-wít He was executed.|received the death penalty|||||
18|พูดให้มันดีๆหน่อย STRONG pûut hâi man dii-dii nɔ̀i Watch your language! / Speak nicely!  ||||||
19|เป็นลางร้าย bpen laang-ráai It's a bad omen. / That's ominous. ||||||
20|อย่ามาเสือก STRONG yàa maa sʉ̀ak Don't butt in! / Don't intrude!  ||||||
1|ผม(ก็)ตกใจ pǒm|gɔ̂ɔ|dtòk-jai I was shocked. / I was startled. |dtòk-jai I was shocked. / I wa|Super Useful Expressions, Part 176  |low-intermediate level|
2|เขาไม่พอใจ kǎo mâi-pɔɔ-jai He's angry/upset/not satisfied with...  ||||||
3|ฉันรู้จักเขาดี chǎn rúu-jàk kǎo diiI know him well. / I know her well.  ||||||
4|เสร็จแล้วหรือ sèt lɛ́ɛo rʉ̌ʉ Are you finished? / Are you done?  ||||||
5|เสร็จแล้ว sèt lɛ́ɛo I'm done. / It's finished.  ||||||
6|ไม่ต้อง mâi-dtɔ̂ng No|it's not necessary|. / No need.  |. / No need.  |||
7|จริงๆ(นะ) jing-jing|ná|Really! / It's true!  |Really! / It's true!  |||
8|ยังไม่สุก yang mâi sùk It's not ripe|yet|. / It's not cooked.  |. / It's not cooked.  |||
9|ฉัน(มัน)เลว chǎn|man|leeo I'm bad. / I'm so bad. / I'm no good.  Note: มัน (man) often means 'it' but here it's used in a derogatory way to refer to oneself.  |leeo I'm bad. / I'm so bad. / |||
10|เป็นไปได้ว่า... bpen-bpai-dâi wâa... It's possible that... / There's a possibility that...  ||||||
11|ออกมาสิ ɔ̀ɔk-maa sì Come out.  ||||||
12|เขาออกมาแล้ว kǎo ɔ̀ɔk-maa lɛ́ɛo He's out. / He came out.  ||||||
13|เข้ามาข้างใน kâo-maa kâang-nai Come inside.  ||||||
14|ดีๆ dii-dii Good, good. / Good. / That's good.||||||
15|ตอนนี้ยัง(ค่ะ) dtɔɔn-níi yang|kà|Not yet. / No, not yet. / Right nowno.  |Not yet. / No, not yet. / Righ|||
16|(ที่นี่)บ้านของใคร|tîi-nîi|bâan kɔ̌ɔng krai Whose house is this?  |bâan kɔ̌ɔng krai Whose house i|||
