sequence|thai|phonetic|description|desc-short|set|level|
5|ผมเมามาก|pom mao mâak|I'm really drunk.  |I'm really drunk.  |||
6|น่าอิจฉาจัง|nâa-ìt-chǎa jang|I'm so jealous/envious!  |I'm so jealous/envious!  |||
7|เปลี่ยนใจแล้ว|bplìan-jai lɛ́ɛo|I changed my mind. / I've changed my mind.  |I changed my mind. / I've chan|||
8|คิดถึงจังเลย|kít-tʉ̌ng jang ləəi|I really miss you. / I really miss her.  |I really miss you. / I really |||
9|เที่ยวให้สนุก|tîao-hâi sà-nùk|Have a good trip. / Enjoy your trip.  |Have a good trip. / Enjoy your|||
10|รอด้วย|rɔɔ dûai|Wait. / Wait for me. / Wait up. |Wait. / Wait for me. / Wait up|||
11|สุขสันต์วันเกิด(นะคะ) sùk-sǎn wan-gə̀ət|ná ká|Happy Birthday! |Happy Birthday! |||
12|เชิญนั่ง(ก่อน)(ครับ) chəən nâng|gɔ̀ɔn|(kráp) Have a seat.  |(kráp) Have a seat.  |||
13|(มัน)อันตรายมาก|man an-dtà-raai mâak|(It)'s very dangerous.  |(It)'s very dangerous.  |||
14|อย่าทิ้งฉัน|yàa tíng chǎn|Don't leave me! / Don't throw me away!  |Don't leave me! / Don't throw |||
15|เรียบร้อยแล้ว|rîap-rɔ́ɔi lɛ́ɛo|It's all done. / I'm finished.  |It's all done. / I'm finished.|||
16|มันซับซ้อน|man sáp-sɔ́ɔn|It's complicated. |It's complicated. |||
17|ไม่มีอะไรเกิดขึ้น|mâi mii à-rai gə̀ət-kʉ̂n|Nothing happened.  |Nothing happened.  |||
18|(ก็)คิดอยู่|gɔ̂ɔ|kít-yùu I'm thinking about it. |kít-yùu I'm thinking about it.|||
19|(ฉัน)ดูไม่ออก|chǎn|duu mâi-ɔ̀ɔk I can't tell. / I can't make out who it is. / I can't make it out.  |duu mâi-ɔ̀ɔk I can't tell. / I|||
20|ไม่เคยเจอกัน|mâi kəəi jəə-gan|We've never met (before). / I've never met her (before).  |We've never met (before). / I'|||
1|เป็นอะไร|bpen à-rai|Are you okay? / What's wrong? / What's going on?  |Are you okay? / What's wrong? |Super Useful Short Expressions, Part 8  |low-intermediate level|
2|มีใครไปบ้าง|mii krai bpai bâang|Who's going?  |Who's going?  |||
3|บอกว่าอะไร(คะ/ครับ) bɔ̀ɔk wâa à-rai|ká/kráp|What did he say?  |What did he say?  |||
4|พูดถึงอะไร|pûut-tʉ̌ng à-rai|What are you talking about?  |What are you talking about?  |||
5|คิดอะไรอยู่|kít à-rai yùu|What are you thinking? / What are you thinking about?  |What are you thinking? / What |||
6|ไปเอามาจากไหน|bpai ao maa jàak nǎi|Where did you get it/that?  |Where did you get it/that?  |||
7|ทำอะไรอยู่ / ทำอะไรอ่ะ INFORMAL|tam à-rai yùu / tam à-rai à|What are you doing?  |What are you doing?  |||
8|ช่วยหน่อย INFORMAL|chûai nɔ̀i|Help me. / Can you help me?  |Help me. / Can you help me?  |||
9|ว่ายังไงบ้างครับ|wâa yang-ngai bâang kráp|What did she say? |What did she say? |||
10|กลัวอะไร|glua à-rai|What are you afraid of?  |What are you afraid of?  |||
11|จำไม่ได้หรือ|jam mâi-dâi rə̌ə|You don't remember? / Don't you remember? |You don't remember? / Don't yo|||
12|นานแค่ไหนแล้วที่...|naan kɛ̂ɛ-nǎi lɛ́ɛo tîi...|How long (has it been since)... ?|How long (has it been since)..|||
13|ใครจะไปรู้|krai jà bpai rúu|Who knows? / It's anyone's guess. / You never know.  |Who knows? / It's anyone's gue|||
14|จะซื้ออะไรให้ดี|jà sʉ́ʉ à-rai hâi dii|What should I get (him)? (for example: for his birthday)  |What should I get (him)? (for |||
15|(...) จะว่ายังไง|...|jà wâa yang-ngai What would (...) say/think? What do (you) say? / What do (you) have to say to that? / What do (you) think? |jà wâa yang-ngai What would (.|||
16|เอาอย่างนี้/งี้|ao yàang níi/ngíi|How about this...? / I tell you what... / Okay, then... (giving suggestion)  |How about this...? / I tell yo|||
17|เคยไปหรือ|kəəi bpai rə̌ə|Oh, have you been (there) before? / Oh, you've been there before?  |Oh, have you been (there) befo|||
18|ดีขึ้นไหม|dii-kʉ̂n mǎi|Are you better now? / Is it better now?  |Are you better now? / Is it be|||
19|มันผิดตรงไหน|man pìt dtrong-nǎi|What's wrong with that/it?  |What's wrong with that/it?  |||
20|เขาทำอะไรคุณ|kao tam à-rai kun|What did (she) do to you?  |What did (she) do to you?  |||
1|น่าเสียดาย|nâa-sǐa-daai|That's too bad. / What a pity. / What a shame.  |That's too bad. / What a pity.|Super Useful Short Expressions, Part 9  |mid-intermediate level|
2|ฉันเป็นห่วงเธอ|chǎn bpen hùang təə|I'm worried about you. |I'm worried about you. |||
3|บังเอิญจริงๆ|bang-əən jing-jing|What a coincidence!  |What a coincidence!  |||
4|ถ้าไม่รังเกียจ...|tâa mâi rang-gìat...|If you don't mind... / If it's okay with you...  |If you don't mind... / If it's|||
5|มาช้าดีกว่าไม่มา*|maa cháa dii gwàa mâi maa|Better late than never.  |Better late than never.  |||
6|เอาเป็นว่า...|ao bpen wâa...|(Used when concluding something): Well/Okay/Then... / ...then. / Okay, let's do  it this way... / It turns out/In the end... / Let's just say...  |(Used when concluding somethin|||
7|สุขสันต์วันเกิดย้อนหลัง|sùk-sǎn wan-gə̀ət yɔ́ɔn-lǎng|Happy Belated Birthday!  Note: -ย้อนหลัง (yɔ́ɔn-lǎng) means in retrospect.  |Happy Belated Birthday!  Note:|||
8|ยังหาไม่ได้เลย|yang hǎa mâi dâi ləəi|I still can't find one. / I still can't find it.  |I still can't find one. / I st|||
9|ตอนแรกไม่เชื่อ|dtɔɔn-rɛ̂ɛk mâi-chʉ̂a|At first, I didn't believe it.  |At first, I didn't believe it.|||
10|นึกแล้วเชียว|nʉ́k lɛ́ɛo chiao|I knew it! / I thought so! / Just as I thought!  Note: -เชียว (chiao) is an intensifier used for emphasis here. |I knew it! / I thought so! / J|||
11|ผมก็ไม่ว่า(อะไร) pǒm gɔ̂ɔ mâi-wâa|à-rai|It's fine with me. / Feel free. / I don't mind. (If you do it...)  |It's fine with me. / Feel free|||
12|ไปกันเถอะ|bpai gan təə|Let's go. |Let's go. |||
13|บอกตามตรง...|bɔ̀ɔk dtaam-dtrong|To be honest... / I'll be honest with you... / Honestly...  |To be honest... / I'll be hone|||
